"","subtissue","plate.barcode","FACS.selection","cell_ontology_class","cell_ontology_id","free_annotation","cluster.ids","mouse.sex","mouse.id"
"A14.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_38_F"
"A14.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A14.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A14.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_38_F"
"A15.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_8_M"
"A15.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_9_M"
"A15.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","large intestine goblet cell","CL:1000320","Goblet cell, top of crypt (Distal)","13","M","3_10_M"
"A15.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_11_M"
"A15.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_10_M"
"A15.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_56_F"
"A15.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_56_F"
"A15.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_38_F"
"A15.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_39_F"
"A15.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A15.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_38_F"
"A16.MAA000583.3_9_M.1.1","Distal","MAA000583","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","M","3_9_M"
"A16.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_8_M"
"A16.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_9_M"
"A16.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","M","3_10_M"
"A16.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_11_M"
"A16.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","M","3_10_M"
"A16.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","large intestine goblet cell","CL:1000320","Goblet cell, top of crypt (Distal)","13","M","3_8_M"
"A16.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_56_F"
"A16.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_38_F"
"A16.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A16.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_39_F"
"A16.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","F","3_39_F"
"A17.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","M","3_8_M"
"A17.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","M","3_9_M"
"A17.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","M","3_11_M"
"A17.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_10_M"
"A17.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","M","3_8_M"
"A17.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","F","3_56_F"
"A17.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","F","3_56_F"
"A17.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A17.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A18.MAA000583.3_9_M.1.1","Distal","MAA000583","Multiple","large intestine goblet cell","CL:1000320","Goblet cell, top of crypt (Distal)","13","M","3_9_M"
"A18.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_8_M"
"A18.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","M","3_9_M"
"A18.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_10_M"
"A18.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_11_M"
"A18.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_10_M"
"A18.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_8_M"
"A18.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","F","3_56_F"
"A18.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","F","3_56_F"
"A18.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_38_F"
"A18.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A18.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_38_F"
"A18.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","F","3_39_F"
"A19.MAA000583.3_9_M.1.1","Distal","MAA000583","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_9_M"
"A19.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_9_M"
"A19.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Distal)","3","M","3_10_M"
"A19.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","M","3_11_M"
"A19.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_10_M"
"A19.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","M","3_8_M"
"A19.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_56_F"
"A19.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","F","3_56_F"
"A19.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","F","3_38_F"
"A19.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","F","3_39_F"
"A1.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_8_M"
"A1.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_9_M"
"A1.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_10_M"
"A1.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_11_M"
"A1.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","M","3_10_M"
"A1.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_8_M"
"A1.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","F","3_56_F"
"A1.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","F","3_38_F"
"A1.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","F","3_39_F"
"A1.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","F","3_39_F"
"A1.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","F","3_38_F"
"A1.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Distal)","3","F","3_39_F"
"A20.MAA000583.3_9_M.1.1","Distal","MAA000583","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Distal)","3","M","3_9_M"
"A20.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_8_M"
"A20.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","M","3_9_M"
"A20.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_10_M"
"A20.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","M","3_11_M"
"A20.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","enteroendocrine cell","CL:0000164","Chromaffin Cell","15","M","3_8_M"
"A20.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","large intestine goblet cell","CL:1000320","Goblet cell, top of crypt (Distal)","13","F","3_56_F"
"A20.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_38_F"
"A20.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_39_F"
"A20.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","F","3_39_F"
"A21.MAA000583.3_9_M.1.1","Distal","MAA000583","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_9_M"
"A21.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_8_M"
"A21.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_9_M"
"A21.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ amplifying undifferentiated cell (Distal)","12","M","3_10_M"
"A21.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_11_M"
"A21.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_10_M"
"A21.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","M","3_8_M"
"A21.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","F","3_56_F"
"A21.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","5","F","3_56_F"
"A21.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","F","3_39_F"
"A21.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","7","F","3_38_F"
"A21.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","F","3_39_F"
"A22.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","Brush cell of epithelium proper of large intestine","CL:0002203","Tuft cell","14","M","3_8_M"
"A22.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_9_M"
"A22.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Distal)","3","M","3_10_M"
"A22.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","M","3_10_M"
"A22.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_8_M"
"A22.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_56_F"
"A22.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Proximal)","2","F","3_38_F"
"A22.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","F","3_39_F"
"A22.MAA001872.3_39_F.1.1","Proximal","MAA001872","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","F","3_39_F"
"A22.MAA001873.3_38_F.1.1","Distal","MAA001873","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Distal)","3","F","3_38_F"
"A22.MAA001875.3_39_F.1.1","Distal","MAA001875","Multiple","enterocyte of epithelium of large intestine","CL:0002071","Enterocyte (Distal)","8","F","3_39_F"
"A2.MAA000611.3_8_M.1.1","Proximal","MAA000611","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","M","3_8_M"
"A2.MAA000612.3_9_M.1.1","Proximal","MAA000612","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_9_M"
"A2.MAA000870.3_10_M.1.1","Distal","MAA000870","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Distal)","6","M","3_10_M"
"A2.MAA000871.3_11_M.1.1","Proximal","MAA000871","Multiple","large intestine goblet cell","CL:1000320","Goblet cell (Proximal)","11","M","3_11_M"
"A2.MAA000909.3_10_M.1.1","Proximal","MAA000909","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_10_M"
"A2.MAA000937.3_8_M.1.1","Distal","MAA000937","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","M","3_8_M"
"A2.MAA001539.3_56_F.1.1","Distal","MAA001539","Multiple","large intestine goblet cell","CL:1000320","Goblet cell, top of crypt (Distal)","13","F","3_56_F"
"A2.MAA001632.3_56_F.1.1","Proximal","MAA001632","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5+ undifferentiated cell (Proximal)","1","F","3_56_F"
"A2.MAA001869.3_38_F.1.1","Proximal","MAA001869","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- undifferentiated cell","4","F","3_38_F"
"A2.MAA001871.3_39_F.1.1","Proximal","MAA001871","Multiple","epithelial cell of large intestine","CL:0002253","Lgr5- amplifying undifferentiated cell","0","F","3_39_F"
