p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,
4.62E-50,1.614321141,0.53,0.065,1,Rad23a,,,,,,,,
2.90E-46,1.612958112,0.392,0.031,1,Tspo2,,,,,,,,
2.09E-47,1.597067947,0.547,0.081,1,Hagh,,,,,,,,
7.65E-90,1.547528707,0.961,0.469,1,Cd24a,,,,,,,,
3.03E-40,1.542327439,0.348,0.023,1,Icam4,,,,,,,,
1.32E-38,1.539008173,0.376,0.038,1,Tfrc,,,,,,,,
3.38E-44,1.529670193,0.331,0.021,1,Ermap,,,,,,,,
6.77E-37,1.525099891,0.298,0.008,1,Tspan33,,,,,,,,
2.74E-36,1.524099254,0.365,0.031,1,Cldn13,,,,,,,,
2.47E-36,1.51585502,0.354,0.036,1,Ubac1,,,,,,,,
4.79E-139,1.506615023,1,0.731,1,Gpx1,,,,,,,,
2.51E-43,1.500570284,0.343,0.016,1,Kel,,,,,,,,
5.27E-37,1.481095501,0.541,0.189,1,Tmem14c,,,,,,,,
1.09E-34,1.45426902,0.359,0.046,1,Hebp1,,,,,,,,
6.54E-42,1.441592066,0.337,0.017,1,Slc43a1,,,,,,,,
3.07E-46,1.431821193,0.657,0.216,1,Bsg,,,,,,,,
4.86E-38,1.416842715,0.265,0.004,1,Trim10,,,,,,,,
4.36E-32,1.401740272,0.32,0.036,1,Odc1,,,,,,,,
4.85E-29,1.390753328,0.425,0.084,1,Ube2l6,,,,,,,,
2.98E-41,1.384462981,0.646,0.217,1,Arf5,,,,,,,,
3.73E-31,1.378422544,0.508,0.163,1,Rrm2,,,,,,,,
1.13E-40,1.360394503,0.652,0.211,1,Birc5,,,,,,,,
1.59E-37,1.359085133,0.652,0.198,1,Ube2c,,,,,,,,
2.41E-38,1.351219297,0.304,0.023,1,Nxpe2,,,,,,,,
1.68E-35,1.341122293,0.26,0.014,1,Tdpx-ps1,,,,,,,,
1.27E-33,1.325449445,0.32,0.021,1,Ift140,,,,,,,,
1.42E-31,1.321068682,0.331,0.034,1,Mki67,,,,,,,,
6.23E-29,1.320823091,0.287,0.033,1,Fam210b,,,,,,,,
4.03E-28,1.295904488,0.387,0.065,1,Pabpc4,,,,,,,,
2.70E-39,1.293592333,0.624,0.19,1,Metap2,,,,,,,,
3.39E-38,1.292100855,0.271,0.021,1,Slc38a5,,,,,,,,
7.28E-26,1.272588395,0.21,0.007,1,Tmod1,,,,,,,,
1.35E-26,1.258948504,0.215,0.005,1,Hbq1b,,,,,,,,
1.15E-25,1.252984196,0.37,0.077,1,5-Mar,,,,,,,,
1.12E-26,1.238574578,0.265,0.028,1,Ptdss2,,,,,,,,
1.40E-28,1.230128172,0.459,0.119,1,Lockd,,,,,,,,
1.02E-24,1.227109975,0.271,0.03,1,Smim1,,,,,,,,
2.09E-24,1.222247141,0.221,0.01,1,Dmtn,,,,,,,,
1.37E-33,1.197134722,0.624,0.231,1,Dek,,,,,,,,
4.24E-55,1.185952958,0.768,0.19,1,Aqp1,,,,,,,,
2.82E-32,1.182672116,0.635,0.241,1,Anp32b,,,,,,,,
1.80E-26,1.179233133,0.227,0.022,1,Gata1,,,,,,,,
2.15E-24,1.163812835,0.282,0.047,1,Pigq,,,,,,,,
2.36E-26,1.162381931,0.215,0.01,1,Epb42,,,,,,,,
4.12E-20,1.157345083,0.315,0.076,1,Nt5c3,,,,,,,,
2.01E-26,1.15541981,0.337,0.051,1,Pla2g16,,,,,,,,
5.99E-24,1.148743937,0.21,0.015,1,Rhag,,,,,,,,
1.25E-21,1.14826965,0.276,0.052,1,Ifrd2,,,,,,,,
4.44E-25,1.138716103,0.215,0.013,1,Tal1,,,,,,,,
7.59E-22,1.135449148,0.337,0.073,1,Smap1,,,,,,,,
3.35E-26,1.131440661,0.608,0.26,1,Tuba1c,,,,,,,,
2.28E-23,1.130532293,0.365,0.102,1,Tk1,,,,,,,,
2.23E-35,1.129600941,0.751,0.32,1,Tubb4b,,,,,,,,
2.59E-21,1.127242318,0.227,0.025,1,Abcg2,,,,,,,,
1.99E-23,1.124165216,0.265,0.041,1,Kcnn4,,,,,,,,
1.71E-17,1.115895702,0.188,0.023,1,Rec114,,,,,,,,
7.79E-27,1.115260952,0.182,0,1,Fn3k,,,,,,,,
5.67E-19,1.105549227,0.326,0.081,1,E2f4,,,,,,,,
1.47E-22,1.094872935,0.298,0.047,1,Ppox,,,,,,,,
3.32E-18,1.08475718,0.331,0.072,1,Car1,,,,,,,,
6.86E-24,1.08269057,0.249,0.03,1,Smox,,,,,,,,
3.98E-26,1.074146651,0.392,0.086,1,Lmo2,,,,,,,,
1.25E-11,1.070956153,0.155,0.018,1,Rsad2,,,,,,,,
5.01E-19,1.070844062,0.448,0.151,1,Nusap1,,,,,,,,
1.59E-20,1.068186072,0.166,0.004,1,Dnajb2,,,,,,,,
3.72E-24,1.05985102,0.514,0.172,1,Ccna2,,,,,,,,
3.87E-21,1.05936041,0.249,0.034,1,Eif2ak1,,,,,,,,
7.86E-21,1.058587224,0.337,0.077,1,Acp1,,,,,,,,
1.80E-24,1.054482117,0.453,0.141,1,Cdca3,,,,,,,,
5.00E-18,1.052812014,0.287,0.075,1,Rbm38,,,,,,,,
3.98E-15,1.031363972,0.293,0.089,1,Mcm2,,,,,,,,
1.26E-20,1.030808912,0.354,0.084,1,Isca1,,,,,,,,
1.89E-18,1.023058596,0.16,0.004,1,Ackr1,,,,,,,,
1.86E-17,1.022862414,0.21,0.024,1,Hist3h2ba,,,,,,,,
3.67E-18,1.022825019,0.32,0.077,1,2-Mar,,,,,,,,
5.84E-14,0.97678963,0.337,0.116,1,Ccnb1,,,,,,,,
7.66E-19,0.974413261,0.177,0.017,1,Uros,,,,,,,,
3.96E-22,0.972330938,0.481,0.191,1,Ccnb2,,,,,,,,
5.94E-20,0.970255885,0.47,0.157,1,Cd82,,,,,,,,
7.97E-15,0.963200038,0.182,0.029,1,Ces2g,,,,,,,,
2.80E-18,0.941341267,0.243,0.051,1,Josd2,,,,,,,,
1.58E-13,0.939885002,0.232,0.047,1,Cdc25b,,,,,,,,
4.20E-22,0.928773611,0.177,0.014,1,Abcb10,,,,,,,,
1.17E-12,0.925692151,0.298,0.081,1,Carhsp1,,,,,,,,
1.48E-22,0.921798869,0.459,0.14,1,Cyb5a,,,,,,,,
9.73E-17,0.916804805,0.481,0.216,1,Creg1,,,,,,,,
7.37E-20,0.912470904,0.381,0.127,1,Cdk1,,,,,,,,
2.10E-11,0.901583857,0.309,0.131,1,Mkrn1,,,,,,,,
2.91E-16,0.894239434,0.171,0.022,1,Tfdp2,,,,,,,,
4.34E-13,0.882999844,0.243,0.072,1,Fzr1,,,,,,,,
8.22E-15,0.878783698,0.271,0.096,1,1700037H04Rik,,,,,,,,
1.40E-18,0.877296198,0.365,0.128,1,Bola3,,,,,,,,
3.79E-16,0.869532845,0.155,0.011,1,Vopp1,,,,,,,,
5.71E-10,0.868544106,0.215,0.073,1,Aurka,,,,,,,,
2.60E-16,0.851180906,0.16,0.02,1,Tspan8,,,,,,,,
6.09E-15,0.846280698,0.243,0.055,1,Gid8,,,,,,,,
1.84E-13,0.845926762,0.331,0.132,1,Tyms,,,,,,,,
5.33E-16,0.839184086,0.425,0.162,1,Cdca8,,,,,,,,
8.25E-12,0.839081926,0.182,0.04,1,Apeh,,,,,,,,
6.66E-15,0.829888471,0.232,0.048,1,Psmf1,,,,,,,,
6.86E-11,0.824753548,0.199,0.045,1,Slc25a51,,,,,,,,
4.55E-10,0.805944773,0.398,0.2,1,Cdkn2d,,,,,,,,
3.87E-15,0.793332736,0.166,0.023,1,Slc16a10,,,,,,,,
1.17E-21,0.792084589,0.796,0.463,1,H3f3a,,,,,,,,
2.26E-13,0.786760837,0.166,0.025,1,Slc25a38,,,,,,,,
1.21E-10,0.783122875,0.409,0.182,1,Cenpa,,,,,,,,
1.46E-09,0.781410433,0.238,0.08,1,Svbp,,,,,,,,
8.13E-11,0.77396815,0.243,0.092,1,Stom,,,,,,,,
4.42E-13,0.77240758,0.304,0.104,1,Spc25,,,,,,,,
7.58E-10,0.767602015,0.337,0.167,1,Smc4,,,,,,,,
1.20E-10,0.753194885,0.376,0.162,1,Rgcc,,,,,,,,
8.49E-11,0.751663635,0.287,0.098,1,Cdkn3,,,,,,,,
1.13E-10,0.747489341,0.376,0.18,1,1810058I24Rik,,,,,,,,
3.36E-11,0.738831442,0.171,0.035,1,Cenpf,,,,,,,,
1.27E-17,0.738134867,0.613,0.301,1,Cd47,,,,,,,,
1.46E-08,0.736611783,0.199,0.052,1,Ppp1r15a,,,,,,,,
6.14E-13,0.735036997,0.232,0.055,1,Lmna,,,,,,,,
1.73E-13,0.727262929,0.182,0.052,1,Memo1,,,,,,,,
9.07E-10,0.723696303,0.298,0.125,1,Slc25a39,,,,,,,,
1.75E-10,0.709465505,0.227,0.097,1,Tmx1,,,,,,,,
9.04E-11,0.695415046,0.276,0.103,1,Azin1,,,,,,,,
8.67E-11,0.687701747,0.177,0.043,1,Klf3,,,,,,,,
3.81E-12,0.685679819,0.53,0.286,1,Serinc3,,,,,,,,
2.24E-10,0.684290432,0.227,0.087,1,Ptpa,,,,,,,,
1.00E-07,0.679997083,0.348,0.167,1,Lbr,,,,,,,,
3.19E-11,0.678581677,0.304,0.134,1,Gmnn,,,,,,,,
1.50E-10,0.674199703,0.155,0.041,1,Lpcat3,,,,,,,,
8.58E-08,0.666216581,0.287,0.131,1,Asf1b,,,,,,,,
4.45E-09,0.655520262,0.166,0.037,1,E2f2,,,,,,,,
8.30E-11,0.652077768,0.188,0.062,1,Tpx2,,,,,,,,
1.84E-07,0.649819474,0.254,0.14,1,Dnajc9,,,,,,,,
2.53E-09,0.645072845,0.199,0.073,1,Slbp,,,,,,,,
1.41E-09,0.640205363,0.199,0.068,1,Map2k3,,,,,,,,
1.11E-08,0.636334111,0.193,0.09,1,Lyl1,,,,,,,,
5.42E-06,0.627191155,0.304,0.172,1,Pcna,,,,,,,,
2.66E-07,0.6244421,0.193,0.073,1,Hmgb3,,,,,,,,
1.87E-08,0.616321484,0.166,0.06,1,Mzt1,,,,,,,,
4.02E-08,0.613584171,0.265,0.118,1,RP23-269H21.1,,,,,,,,
8.86E-08,0.613167771,0.177,0.06,1,Hars,,,,,,,,
8.29E-15,0.612828673,0.171,0.025,1,Acp5,,,,,,,,
2.43E-09,0.611658009,0.331,0.168,1,Rbbp4,,,,,,,,
4.25E-06,0.610893064,0.282,0.129,1,Slc1a5,,,,,,,,
7.96E-40,0.603762867,0.983,0.872,1,Fth1,,,,,,,,
6.28E-07,0.598513526,0.204,0.099,1,Psme3,,,,,,,,
1.38E-07,0.587559175,0.193,0.092,1,Tacc3,,,,,,,,
2.28E-07,0.583521797,0.21,0.088,1,Ccdc34,,,,,,,,
5.22E-05,0.582705144,0.16,0.079,1,Luc7l2,,,,,,,,
2.01E-09,0.582636545,0.238,0.11,1,Gps2,,,,,,,,
1.46E-05,0.577910364,0.204,0.09,1,Cdca4,,,,,,,,
5.74E-10,0.573291446,0.354,0.177,1,H2afx,,,,,,,,
3.67E-08,0.570964088,0.243,0.088,1,Mgll,,,,,,,,
6.07E-07,0.569740186,0.182,0.076,1,Nuf2,,,,,,,,
3.23E-06,0.568319819,0.227,0.119,1,Rrm1,,,,,,,,
7.47E-08,0.567100687,0.238,0.127,1,Slc3a2,,,,,,,,
4.59E-06,0.566967183,0.166,0.055,1,Ehbp1l1,,,,,,,,
2.40E-08,0.56462459,0.674,0.477,1,mt-Rnr2,,,,,,,,
2.76E-10,0.560053649,0.453,0.255,1,Tmem256,,,,,,,,
9.12E-08,0.557260269,0.265,0.145,1,Mcm7,,,,,,,,
3.43E-05,0.556353187,0.199,0.099,1,Rnaseh2b,,,,,,,,
5.99E-07,0.555594736,0.21,0.091,1,Isca2,,,,,,,,
1.01E-06,0.555379322,0.287,0.166,1,Spc24,,,,,,,,
8.06E-07,0.55485823,0.171,0.061,1,Slc43a3,,,,,,,,
2.43E-05,0.549473556,0.188,0.09,1,Ppm1g,,,,,,,,
3.27E-07,0.548132276,0.459,0.293,1,Gpx4,,,,,,,,
2.53E-06,0.543192323,0.227,0.098,1,Rpa2,,,,,,,,
1.08E-10,0.541499458,0.575,0.325,1,Tubb5,,,,,,,,
1.09E-06,0.538792302,0.155,0.062,1,Glo1,,,,,,,,
1.31E-05,0.536219279,0.238,0.118,1,Rnf187,,,,,,,,
1.50E-12,0.525213164,0.448,0.193,1,Grina,,,,,,,,
1.81E-12,0.525072188,0.68,0.387,1,Tuba1b,,,,,,,,
0.001475337,0.524470202,0.16,0.091,1,Eny2,,,,,,,,
5.62E-06,0.515732916,0.199,0.099,1,Aurkb,,,,,,,,
1.53E-05,0.512313366,0.204,0.119,1,Bcas2,,,,,,,,
3.75E-09,0.506623763,0.298,0.161,1,Eef1d,,,,,,,,
0.000125052,0.501233956,0.21,0.132,1,Tmem134,,,,,,,,
4.04E-06,0.496445605,0.26,0.154,1,Ghitm,,,,,,,,
4.80E-07,0.476993426,0.348,0.201,1,Sec61g,,,,,,,,
0.00032381,0.476014859,0.243,0.132,1,Rad21,,,,,,,,
5.26E-07,0.474683965,0.16,0.053,1,Pqlc1,,,,,,,,
7.14E-06,0.469915723,0.238,0.121,1,Pcmt1,,,,,,,,
3.28E-16,0.460898177,0.834,0.549,1,Ucp2,,,,,,,,
0.000341786,0.456698513,0.254,0.161,1,Mcm6,,,,,,,,
3.68E-05,0.455475876,0.32,0.199,1,H2afj,,,,,,,,
2.18E-08,0.454003358,0.193,0.123,1,Mcm5,,,,,,,,
3.97E-09,0.448901228,0.298,0.14,1,Ptp4a3,,,,,,,,
8.03E-07,0.439839589,0.691,0.53,1,Cox6a1,,,,,,,,
0.000172721,0.439523198,0.199,0.107,1,Tmpo,,,,,,,,
3.98E-06,0.438057984,0.298,0.157,1,Txnl1,,,,,,,,
1.69E-05,0.435826858,0.276,0.147,1,Tprgl,,,,,,,,
8.80E-05,0.433294893,0.182,0.096,1,Pbk,,,,,,,,
0.000320293,0.428445739,0.409,0.292,1,Eif2s2,,,,,,,,
1.09E-06,0.426642672,0.21,0.1,1,Slc48a1,,,,,,,,
1.85E-05,0.418358825,0.238,0.13,1,Napa,,,,,,,,
0.002619203,0.415244698,0.155,0.078,1,Gabarapl2,,,,,,,,
5.49E-06,0.414237472,0.315,0.185,1,Cks1b,,,,,,,,
8.50E-06,0.406093556,0.326,0.189,1,Sh3glb1,,,,,,,,
0.000188661,0.405406088,0.204,0.152,1,Bnip3l,,,,,,,,
4.88E-06,0.402798877,0.215,0.11,1,Top2a,,,,,,,,
2.27E-07,0.402483712,0.475,0.286,1,Ran,,,,,,,,
1.21E-08,0.402299957,0.818,0.655,1,Oaz1,,,,,,,,
2.23E-158,2.421054091,0.988,0.452,2,Camp,,Neutrophil_Camp high,,,,,,
2.84E-174,2.294545745,0.994,0.614,2,Ngp,,,,,,,,
3.83E-107,2.223461168,0.947,0.382,2,Chil3,,,,,,,,
1.80E-139,2.144843676,0.977,0.288,2,Ltf,,,,,,,,
1.91E-139,1.890625073,0.994,0.554,2,Lcn2,,,,,,,,
1.00E-103,1.791651346,0.959,0.274,2,Wfdc21,,,,,,,,
1.08E-79,1.719858652,0.912,0.249,2,Anxa1,,,,,,,,
6.82E-163,1.628945269,0.994,0.823,2,S100a9,,,,,,,,
8.94E-44,1.480176964,0.661,0.14,2,Cd177,,,,,,,,
2.76E-33,1.410683937,0.48,0.079,2,Cebpe,,,,,,,,
5.03E-57,1.336343648,0.854,0.233,2,Pglyrp1,,,,,,,,
8.96E-26,1.335234747,0.439,0.083,2,Ly6g,,,,,,,,
1.32E-38,1.334102724,0.585,0.113,2,Lrg1,,,,,,,,
9.02E-24,1.245190127,0.292,0.028,2,AA467197,,,,,,,,
2.47E-51,1.231553714,0.877,0.287,2,Ifitm6,,,,,,,,
1.36E-26,1.226755548,0.427,0.073,2,Adpgk,,,,,,,,
6.71E-27,1.197183686,0.48,0.111,2,Ltb4r1,,,,,,,,
8.20E-36,1.193233237,0.737,0.256,2,I830127L07Rik,,,,,,,,
1.46E-20,1.180060299,0.292,0.043,2,Ffar2,,,,,,,,
2.31E-30,1.177455433,0.52,0.107,2,Chil1,,,,,,,,
3.04E-32,1.170027893,0.643,0.187,2,Serpinb1a,,,,,,,,
1.95E-21,1.130407719,0.48,0.137,2,Arrb2,,,,,,,,
2.65E-24,1.119401179,0.45,0.099,2,Trem3,,,,,,,,
2.47E-45,1.109853577,0.889,0.393,2,Prdx5,,,,,,,,
1.48E-47,1.109332203,0.901,0.445,2,Arhgdib,,,,,,,,
3.78E-20,1.042252217,0.497,0.156,2,Lta4h,,,,,,,,
5.66E-21,1.015919939,0.333,0.055,2,Itgb2l,,,,,,,,
4.47E-20,0.973004897,0.187,0.008,2,Orm1,,,,,,,,
2.60E-24,0.951703473,0.632,0.223,2,Cybb,,,,,,,,
5.96E-40,0.951380798,0.883,0.418,2,Cyba,,,,,,,,
7.96E-14,0.921407191,0.205,0.031,2,Gca,,,,,,,,
8.93E-13,0.918313695,0.322,0.093,2,Hsd11b1,,,,,,,,
2.28E-94,0.917988275,1,0.87,2,Lyz2,,,,,,,,
2.20E-11,0.913709054,0.181,0.042,2,Agpat2,,,,,,,,
1.90E-16,0.903752231,0.544,0.219,2,Cnn2,,,,,,,,
5.78E-17,0.899980253,0.392,0.105,2,Plbd1,,,,,,,,
7.43E-23,0.893341699,0.433,0.116,2,Fcnb,,,,,,,,
1.75E-12,0.87590481,0.351,0.13,2,G6pdx,,,,,,,,
3.68E-14,0.864748598,0.386,0.125,2,Ncf1,,,,,,,,
4.05E-28,0.861229615,0.749,0.316,2,Hp,,,,,,,,
1.33E-14,0.85503665,0.485,0.183,2,Mcemp1,,,,,,,,
1.28E-11,0.825806328,0.368,0.134,2,Clec4a2,,,,,,,,
5.74E-10,0.823779858,0.222,0.05,2,Aldh3b1,,,,,,,,
8.60E-20,0.82022359,0.485,0.149,2,Cd9,,,,,,,,
7.32E-19,0.814083795,0.684,0.415,2,Hmgn2,,,,,,,,
2.04E-11,0.791553159,0.269,0.067,2,Cpne3,,,,,,,,
3.84E-11,0.783886703,0.281,0.075,2,Mgst2,,,,,,,,
3.45E-09,0.781780233,0.181,0.037,2,Dgat2,,,,,,,,
3.73E-15,0.781361675,0.427,0.144,2,Itgb2,,,,,,,,
3.46E-13,0.780262966,0.608,0.315,2,Aldh2,,,,,,,,
6.64E-11,0.776352267,0.193,0.034,2,Clec5a,,,,,,,,
7.73E-17,0.769714814,0.439,0.159,2,Vasp,,,,,,,,
3.87E-13,0.766807561,0.433,0.172,2,Ncf4,,,,,,,,
2.19E-07,0.749992502,0.211,0.066,2,Glipr2,,,,,,,,
2.98E-13,0.745219852,0.567,0.286,2,Tecr,,,,,,,,
2.65E-25,0.738873058,0.86,0.489,2,Rac2,,,,,,,,
3.31E-09,0.72320498,0.333,0.127,2,Igsf6,,,,,,,,
2.83E-12,0.721704766,0.363,0.146,2,Scp2,,,,,,,,
1.31E-10,0.718972668,0.263,0.073,2,Pirb,,,,,,,,
2.67E-09,0.716161929,0.228,0.06,2,Pilra,,,,,,,,
3.63E-07,0.711991198,0.281,0.114,2,Plp2,,,,,,,,
2.04E-09,0.71041069,0.175,0.032,2,Sqrdl,,,,,,,,
1.04E-06,0.710330472,0.181,0.067,2,Rab3d,,,,,,,,
1.02E-17,0.706804496,0.556,0.234,2,Mgst1,,,,,,,,
6.71E-18,0.704466195,0.684,0.327,2,Alox5ap,,,,,,,,
2.14E-10,0.697392211,0.491,0.236,2,Gpi1,,,,,,,,
1.69E-11,0.691017526,0.304,0.115,2,Glrx,,,,,,,,
3.00E-08,0.688229109,0.216,0.06,2,Ckap4,,,,,,,,
4.35E-09,0.677340984,0.327,0.119,2,Gpsm3,,,,,,,,
1.82E-06,0.672937437,0.24,0.095,2,Pnkp,,,,,,,,
2.71E-07,0.667294633,0.327,0.157,2,Mettl9,,,,,,,,
1.01E-07,0.665391973,0.199,0.052,2,Pilrb2,,,,,,,,
1.08E-07,0.661311232,0.269,0.12,2,R3hdm4,,,,,,,,
4.61E-09,0.659372987,0.345,0.14,2,Pygl,,,,,,,,
2.59E-29,0.657569701,0.836,0.387,2,Cd52,,,,,,,,
1.24E-07,0.654669694,0.31,0.122,2,Mmp9,,,,,,,,
3.11E-08,0.652716414,0.404,0.188,2,Degs1,,,,,,,,
3.17E-07,0.650440719,0.287,0.127,2,St3gal5,,,,,,,,
1.71E-07,0.64884652,0.292,0.111,2,Dhrs7,,,,,,,,
3.02E-20,0.647560382,0.749,0.36,2,Cotl1,,,,,,,,
1.41E-06,0.634135477,0.175,0.055,2,Abhd5,,,,,,,,
1.69E-07,0.632532563,0.199,0.06,2,Hck,,,,,,,,
6.94E-06,0.626503756,0.158,0.044,2,Ebi3,,,,,,,,
1.80E-07,0.621000303,0.298,0.117,2,Dstn,,,,,,,,
1.32E-09,0.618585596,0.251,0.078,2,Itgam,,,,,,,,
2.23E-06,0.618205688,0.246,0.097,2,Msra,,,,,,,,
1.94E-07,0.617340244,0.222,0.095,2,Cyb5r4,,,,,,,,
2.44E-06,0.612447772,0.485,0.285,2,Mmp8,,,,,,,,
2.85E-07,0.611661266,0.222,0.072,2,Mrgpra2b,,,,,,,,
3.76E-09,0.60151471,0.468,0.271,2,Tkt,,,,,,,,
4.96E-06,0.592424461,0.17,0.052,2,Rogdi,,,,,,,,
2.36E-08,0.592406388,0.152,0.037,2,Slc31a2,,,,,,,,
5.97E-05,0.591689091,0.152,0.047,2,Ppm1m,,,,,,,,
3.50E-05,0.579517681,0.152,0.049,2,F630028O10Rik,,,,,,,,
3.61E-10,0.578287737,0.222,0.067,2,C3,,,,,,,,
7.97E-08,0.572500543,0.251,0.089,2,Rflnb,,,,,,,,
6.41E-28,0.564426414,0.825,0.402,2,S100a11,,,,,,,,
2.42E-06,0.564171287,0.152,0.041,2,Mafg,,,,,,,,
1.36E-06,0.559733595,0.187,0.058,2,Actn1,,,,,,,,
4.63E-28,0.550108303,0.865,0.445,2,Fcer1g,,,,,,,,
2.05E-10,0.545801022,0.485,0.245,2,Lcp1,,,,,,,,
2.49E-05,0.540251855,0.199,0.073,2,Dgat1,,,,,,,,
6.80E-07,0.536272811,0.175,0.057,2,Nfam1,,,,,,,,
9.01E-05,0.535303136,0.275,0.14,2,Anxa3,,,,,,,,
0.000205936,0.53449046,0.263,0.139,2,Rgs19,,,,,,,,
3.26E-68,0.533211446,1,0.818,2,Tmsb4x,,,,,,,,
1.95E-09,0.532953629,0.515,0.321,2,Cdk2ap2,,,,,,,,
4.47E-06,0.517028656,0.415,0.238,2,Actr3,,,,,,,,
3.66E-15,0.51406388,0.778,0.456,2,Coro1a,,,,,,,,
0.000227884,0.504223876,0.257,0.124,2,Vsir,,,,,,,,
1.86E-09,0.503950468,0.351,0.149,2,Lmo4,,,,,,,,
2.70E-05,0.503621586,0.222,0.098,2,Smim14,,,,,,,,
0.00039228,0.496904069,0.164,0.062,2,Plaur,,,,,,,,
0.000903952,0.490772776,0.211,0.104,2,AB124611,,,,,,,,
8.43E-10,0.477316433,0.673,0.406,2,Pkm,,,,,,,,
3.20E-06,0.475165714,0.164,0.053,2,Slfn4,,,,,,,,
3.52E-16,0.474483757,0.918,0.707,2,Actb,,,,,,,,
0.000185756,0.472169921,0.164,0.09,2,Rbfa,,,,,,,,
0.001423993,0.467073986,0.246,0.158,2,Abracl,,,,,,,,
4.31E-06,0.462686919,0.398,0.242,2,Ostf1,,,,,,,,
0.000102149,0.462150938,0.193,0.086,2,Hcst,,,,,,,,
5.94E-06,0.461588632,0.474,0.276,2,Spi1,,,,,,,,
4.67E-10,0.458265769,0.772,0.534,2,Pfn1,,,,,,,,
1.30E-10,0.443441048,0.363,0.203,2,Pgd,,,,,,,,
0.002437297,0.439182664,0.205,0.114,2,Wdr1,,,,,,,,
0.005910904,0.430285784,0.251,0.141,2,Clec12a,,,,,,,,
0.000643112,0.427544945,0.38,0.242,2,Gnai2,,,,,,,,
2.11E-12,0.418218688,0.743,0.447,2,Arpc2,,,,,,,,
0.006642751,0.41765567,0.17,0.083,2,Flot2,,,,,,,,
0.00098427,0.405003401,0.205,0.101,2,Lasp1,,,,,,,,
7.67E-05,0.404007987,0.298,0.151,2,Ppp1r18,,,,,,,,
1.78E-108,2.661003275,0.833,0.024,3,Ms4a6c,,Macrophage_Ms4a6c high,,,,,,
1.62E-76,2.296367924,0.688,0.03,3,F13a1,,,,,,,,
4.31E-74,2.263987641,0.717,0.039,3,S100a4,,,,,,,,
4.20E-66,2.092360334,0.725,0.061,3,Ctss,,,,,,,,
3.67E-41,1.901971087,0.399,0.012,3,Ccr2,,,,,,,,
1.63E-74,1.86234668,0.92,0.244,3,Psap,,,,,,,,
1.29E-38,1.648359803,0.58,0.081,3,Ccl9,,,,,,,,
2.01E-54,1.605293912,0.877,0.276,3,Lgals3,,,,,,,,
6.56E-36,1.602001326,0.333,0.007,3,Ms4a4c,,,,,,,,
2.75E-44,1.584478463,0.551,0.05,3,Ctsc,,,,,,,,
5.89E-51,1.544161167,0.891,0.32,3,Crip1,,,,,,,,
