p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,,
8.60E-94,1.096834574,0.367,0.103,1,Cd59a,,,,,,,,,,
9.54E-89,1.096379646,0.316,0.074,1,Mmrn2,,,,,,,,,,
3.91E-98,1.096231566,0.413,0.152,1,Serpina3f,,,,,,,,,,
2.29E-72,1.082284541,0.265,0.065,1,Timp3,,,,,,,,,,
1.48E-75,1.043409967,0.294,0.085,1,Clec14a,,,,,,,,,,
4.87E-69,1.038207151,0.244,0.058,1,Flt1,,,,,,,,,,
6.22E-116,1.036423283,0.529,0.212,1,Igfbp4,,,,,,,,,,
9.16E-267,1.032456683,0.955,0.694,1,Hspa1b,,,,,,,,,,
3.53E-80,1.025730669,0.343,0.107,1,Cd300lg,,,,,,,,,,
1.27E-81,1.025248838,0.349,0.109,1,Ramp2,,,,,,,,,,
2.32E-107,1.018792214,0.513,0.206,1,Egfl7,,,,,,,,,,
2.29E-226,0.999616279,0.862,0.539,1,Ctsl,,,,,,,,,,
4.95E-103,0.994368973,0.508,0.21,1,Dnase1l3,,,,,,,,,,
1.10E-71,0.990330187,0.395,0.163,1,Cxcl9,,,,,,,,,,
6.74E-70,0.984256201,0.329,0.115,1,Gng11,,,,,,,,,,
6.97E-84,0.971920811,0.391,0.155,1,Stab1,,,,,,,,,,
3.44E-83,0.968182843,0.424,0.168,1,Stab2,,,,,,,,,,
8.23E-97,0.967495115,0.489,0.247,1,Cdkn1a,,,,,,,,,,
6.77E-61,0.957169016,0.229,0.053,1,Robo4,,,,,,,,,,
3.17E-91,0.948041201,0.47,0.207,1,Maf,,,,,,,,,,
4.91E-65,0.934065754,0.32,0.107,1,Il6st,,,,,,,,,,
7.36E-56,0.933759422,0.231,0.066,1,Tfpi,,,,,,,,,,
5.01E-53,0.932496578,0.244,0.076,1,Tgtp2,,,,,,,,,,
1.44E-52,0.929786766,0.22,0.061,1,Sdpr,,,,,,,,,,
6.08E-60,0.928940721,0.267,0.083,1,Fam167b,,,,,,,,,,
4.05E-213,0.928161884,0.931,0.693,1,Hspa1a,,,,,,,,,,
8.71E-58,0.927721539,0.232,0.062,1,Flt4,,,,,,,,,,
2.87E-50,0.921978625,0.171,0.036,1,Dll4,,,,,,,,,,
4.06E-52,0.921968724,0.18,0.039,1,Col13a1,,,,,,,,,,
1.48E-62,0.921551334,0.298,0.101,1,Dpp4,,,,,,,,,,
2.58E-53,0.921521864,0.217,0.063,1,Tmem204,,,,,,,,,,
2.30E-52,0.921454232,0.265,0.1,1,Ifit3,,,,,,,,,,
1.93E-58,0.920898433,0.286,0.097,1,Cd55,,,,,,,,,,
8.85E-51,0.918272729,0.207,0.058,1,Elk3,,,,,,,,,,
2.31E-97,0.911111685,0.524,0.25,1,Ppp1r15a,,,,,,,,,,
2.88E-54,0.901061113,0.242,0.074,1,Pecam1,,,,,,,,,,
2.70E-225,0.899965646,0.922,0.738,1,Fos,,,,,,,,,,
3.22E-158,0.898669153,0.787,0.51,1,Jun,,,,,,,,,,
4.27E-147,0.891217116,0.768,0.502,1,Ier3,,,,,,,,,,
6.94E-49,0.884670323,0.19,0.046,1,Snrk,,,,,,,,,,
2.76E-54,0.883868085,0.332,0.144,1,Mt2,,,,,,,,,,
4.94E-50,0.882941724,0.222,0.071,1,Mgll,,,,,,,,,,
1.56E-48,0.874128963,0.192,0.054,1,Aass,,,,,,,,,,
1.25E-46,0.865582262,0.188,0.048,1,Rasip1,,,,,,,,,,
1.84E-44,0.863666472,0.175,0.044,1,Col4a2,,,,,,,,,,
1.91E-99,0.849458579,0.579,0.33,1,Il1a,,,,,,,,,,
1.12E-80,0.838608852,0.482,0.249,1,Degs1,,,,,,,,,,
2.21E-65,0.838498037,0.433,0.204,1,Plk2,,,,,,,,,,
2.13E-43,0.83675797,0.181,0.05,1,Myct1,,,,,,,,,,
4.26E-75,0.836231651,0.508,0.276,1,Gadd45g,,,,,,,,,,
1.89E-42,0.835282738,0.227,0.08,1,Cebpd,,,,,,,,,,
9.34E-42,0.831511269,0.164,0.04,1,Npr1,,,,,,,,,,
3.77E-45,0.829899646,0.24,0.097,1,Ifi203,,,,,,,,,,
6.84E-41,0.823296423,0.174,0.047,1,Tpbgl,,,,,,,,,,
5.32E-57,0.822433737,0.361,0.171,1,Jak1,,,,,,,,,,
1.98E-46,0.820644212,0.284,0.126,1,Phlda1,,,,,,,,,,
2.80E-42,0.820322659,0.179,0.048,1,Col4a1,,,,,,,,,,
2.06E-41,0.818910522,0.194,0.062,1,Sbno2,,,,,,,,,,
3.26E-44,0.810559731,0.268,0.119,1,Ctla2a,,,,,,,,,,
1.58E-40,0.806845536,0.161,0.04,1,Dlc1,,,,,,,,,,
9.75E-42,0.806169541,0.184,0.054,1,Ushbp1,,,,,,,,,,
9.75E-41,0.80214003,0.221,0.092,1,Nop58,,,,,,,,,,
3.60E-41,0.798474423,0.176,0.046,1,Lifr,,,,,,,,,,
4.36E-70,0.797937544,0.469,0.247,1,Mrc1,,,,,,,,,,
4.70E-46,0.797378901,0.3,0.154,1,Mndal,,,,,,,,,,
1.54E-38,0.786835291,0.219,0.085,1,1810011O10Rik,,,,,,,,,,
7.70E-64,0.775569051,0.473,0.24,1,Hes1,,,,,,,,,,
2.45E-56,0.77424203,0.409,0.202,1,Fkbp1a,,,,,,,,,,
3.50E-58,0.772558546,0.43,0.2,1,Gimap6,,,,,,,,,,
2.04E-40,0.768642844,0.219,0.082,1,Cmtm8,,,,,,,,,,
2.29E-58,0.765542139,0.433,0.246,1,Irf1,,,,,,,,,,
6.20E-47,0.757523208,0.309,0.164,1,Csrnp1,,,,,,,,,,
7.59E-35,0.751531469,0.184,0.063,1,Plxnc1,,,,,,,,,,
7.37E-90,0.75015594,0.606,0.376,1,Calm2,,,,,,,,,,
1.25E-41,0.747709539,0.27,0.126,1,Sertad1,,,,,,,,,,
1.23E-61,0.746374571,0.515,0.287,1,Dnajb1,,,,,,,,,,
1.05E-38,0.734641769,0.276,0.128,1,Serpina3g,,,,,,,,,,
1.77E-31,0.726509975,0.19,0.072,1,Pdlim1,,,,,,,,,,
7.39E-37,0.724306555,0.18,0.059,1,Bgn,,,,,,,,,,
5.52E-56,0.723773204,0.421,0.257,1,Icam1,,,,,,,,,,
5.27E-33,0.723436351,0.174,0.056,1,Tek,,,,,,,,,,
1.13E-31,0.721101896,0.169,0.059,1,Slc43a3,,,,,,,,,,
3.86E-59,0.718220712,0.488,0.276,1,Cd36,,,,,,,,,,
1.41E-52,0.718171723,0.421,0.218,1,Tcn2,,,,,,,,,,
1.12E-28,0.717164946,0.162,0.052,1,Cyr61,,,,,,,,,,
8.12E-31,0.716174566,0.151,0.047,1,F8,,,,,,,,,,
7.97E-30,0.712662062,0.155,0.048,1,Slc9a3r2,,,,,,,,,,
2.37E-36,0.708896149,0.164,0.046,1,Fscn1,,,,,,,,,,
3.28E-29,0.701481821,0.156,0.051,1,Slc39a8,,,,,,,,,,
7.79E-32,0.701198589,0.202,0.094,1,Ifi47,,,,,,,,,,
3.72E-36,0.699585223,0.267,0.134,1,Cdh5,,,,,,,,,,
8.33E-33,0.696230514,0.321,0.179,1,Hspb1,,,,,,,,,,
1.24E-109,0.694961207,0.804,0.573,1,Junb,,,,,,,,,,
1.62E-34,0.694474601,0.263,0.118,1,Ets1,,,,,,,,,,
1.05E-29,0.694163201,0.197,0.078,1,Casp4,,,,,,,,,,
5.35E-30,0.693730527,0.151,0.054,1,Daxx,,,,,,,,,,
6.51E-35,0.688616015,0.258,0.131,1,Dab2,,,,,,,,,,
2.46E-30,0.685240081,0.182,0.071,1,Tnfaip1,,,,,,,,,,
1.45E-47,0.674653445,0.402,0.23,1,Wsb1,,,,,,,,,,
3.40E-36,0.673463124,0.282,0.143,1,App,,,,,,,,,,
1.07E-26,0.673185146,0.161,0.056,1,Epas1,,,,,,,,,,
8.91E-30,0.667309155,0.196,0.083,1,Klf7,,,,,,,,,,
1.22E-53,0.667143354,0.484,0.315,1,Hbegf,,,,,,,,,,
1.74E-25,0.665679538,0.202,0.108,1,Rsad2,,,,,,,,,,
2.73E-53,0.663157376,0.433,0.251,1,Sh3bp5,,,,,,,,,,
4.05E-102,0.659403356,0.778,0.549,1,Serinc3,,,,,,,,,,
9.28E-28,0.659116855,0.196,0.085,1,Bag3,,,,,,,,,,
1.03E-33,0.657227878,0.253,0.14,1,Rtp4,,,,,,,,,,
2.79E-36,0.649979113,0.298,0.153,1,Gatm,,,,,,,,,,
1.78E-26,0.645793789,0.166,0.061,1,Icam2,,,,,,,,,,
6.69E-23,0.645070302,0.171,0.069,1,Tsc22d1,,,,,,,,,,
1.36E-60,0.641483044,0.583,0.388,1,Fosb,,,,,,,,,,
6.43E-46,0.640676902,0.431,0.267,1,Txnip,,,,,,,,,,
2.16E-30,0.627828141,0.244,0.138,1,Pnp,,,,,,,,,,
3.93E-41,0.621147995,0.398,0.257,1,Nfkbiz,,,,,,,,,,
1.65E-49,0.615543252,0.492,0.318,1,Dnaja1,,,,,,,,,,
3.05E-32,0.605576213,0.294,0.179,1,Ifi207,,,,,,,,,,
9.49E-26,0.601540281,0.243,0.131,1,Dnajb9,,,,,,,,,,
5.17E-61,0.601371443,0.63,0.416,1,Hsp90aa1,,,,,,,,,,
1.56E-40,0.600916251,0.429,0.266,1,Fcgrt,,,,,,,,,,
4.24E-34,0.586866276,0.332,0.201,1,Slc29a1,,,,,,,,,,
3.71E-24,0.584906577,0.212,0.116,1,Clic4,,,,,,,,,,
1.64E-24,0.58060116,0.202,0.105,1,Snu13,,,,,,,,,,
5.82E-25,0.578028473,0.165,0.073,1,Elf1,,,,,,,,,,
1.53E-23,0.577753751,0.165,0.084,1,Rfk,,,,,,,,,,
2.33E-83,0.574510482,0.816,0.645,1,Dusp1,,,,,,,,,,
4.50E-20,0.573020854,0.158,0.071,1,Ndrg1,,,,,,,,,,
1.27E-67,0.57114589,0.691,0.558,1,Mt1,,,,,,,,,,
7.41E-28,0.570482336,0.255,0.145,1,Rbms1,,,,,,,,,,
2.66E-23,0.568530666,0.245,0.134,1,Ppp1r2,,,,,,,,,,
1.64E-26,0.565291497,0.234,0.133,1,Klf4,,,,,,,,,,
3.04E-39,0.56212181,0.472,0.328,1,Ier2,,,,,,,,,,
1.91E-54,0.554110974,0.655,0.463,1,Sgk1,,,,,,,,,,
1.49E-28,0.551689443,0.327,0.206,1,Btg2,,,,,,,,,,
1.62E-23,0.550566661,0.259,0.155,1,Slc38a2,,,,,,,,,,
3.31E-31,0.548995201,0.338,0.223,1,Dynll1,,,,,,,,,,
9.90E-28,0.548298613,0.292,0.179,1,Cd38,,,,,,,,,,
5.75E-20,0.544765758,0.161,0.081,1,Sgpp1,,,,,,,,,,
1.65E-54,0.539151805,0.687,0.498,1,Klf2,,,,,,,,,,
4.17E-22,0.529225647,0.273,0.163,1,Tceal9,,,,,,,,,,
5.56E-23,0.528504748,0.226,0.135,1,Pim3,,,,,,,,,,
1.25E-27,0.526151739,0.324,0.208,1,Ddx3x,,,,,,,,,,
9.96E-20,0.524810742,0.155,0.093,1,Tmem33,,,,,,,,,,
1.06E-25,0.523315352,0.249,0.153,1,Eloc,,,,,,,,,,
7.35E-19,0.517137025,0.174,0.094,1,Nucb1,,,,,,,,,,
1.14E-22,0.515245696,0.251,0.165,1,Ifi204,,,,,,,,,,
2.16E-17,0.514814925,0.176,0.09,1,Aplp2,,,,,,,,,,
1.24E-32,0.514455775,0.429,0.295,1,Lamp2,,,,,,,,,,
1.01E-59,0.512200352,0.708,0.555,1,Jund,,,,,,,,,,
2.04E-60,0.510992689,0.732,0.569,1,Ifitm2,,,,,,,,,,
3.24E-20,0.509806189,0.222,0.136,1,Pea15a,,,,,,,,,,
2.01E-19,0.509067308,0.2,0.124,1,Trib1,,,,,,,,,,
1.09E-20,0.506277899,0.232,0.136,1,Fyn,,,,,,,,,,
4.62E-35,0.505168451,0.467,0.309,1,Marcksl1,,,,,,,,,,
6.70E-22,0.499728602,0.217,0.13,1,Brd2,,,,,,,,,,
1.44E-26,0.498390327,0.342,0.24,1,Ccnl1,,,,,,,,,,
1.57E-20,0.49766171,0.224,0.134,1,Pttg1ip,,,,,,,,,,
9.93E-23,0.492905549,0.262,0.176,1,Hnrnph1,,,,,,,,,,
3.91E-31,0.492628055,0.436,0.298,1,Rhob,,,,,,,,,,
4.33E-20,0.489574037,0.19,0.118,1,Tmem106a,,,,,,,,,,
1.28E-16,0.489281681,0.189,0.109,1,Rsrp1,,,,,,,,,,
7.09E-57,0.487404906,0.762,0.62,1,Zfp36,,,,,,,,,,
1.19E-15,0.483411079,0.151,0.083,1,Gls,,,,,,,,,,
4.37E-19,0.482456168,0.241,0.149,1,S100a13,,,,,,,,,,
2.63E-17,0.479443787,0.196,0.114,1,Mtch1,,,,,,,,,,
5.97E-20,0.472354897,0.268,0.181,1,Zfas1,,,,,,,,,,
2.44E-21,0.471420259,0.268,0.173,1,Srsf7,,,,,,,,,,
4.93E-14,0.470401996,0.156,0.086,1,Rhoc,,,,,,,,,,
7.03E-31,0.465702615,0.503,0.375,1,Gadd45b,,,,,,,,,,
2.22E-91,0.464149155,0.934,0.837,1,Ifitm3,,,,,,,,,,
6.21E-18,0.449658605,0.17,0.109,1,Actn4,,,,,,,,,,
2.74E-88,0.447245224,0.956,0.888,1,Ubc,,,,,,,,,,
6.00E-13,0.423795277,0.155,0.091,1,Mrps6,,,,,,,,,,
2.56E-14,0.421773861,0.16,0.1,1,Sypl,,,,,,,,,,
1.10E-18,0.417969103,0.316,0.228,1,Srsf2,,,,,,,,,,
6.07E-16,0.417500061,0.159,0.103,1,Tmem30a,,,,,,,,,,
7.18E-15,0.414847768,0.249,0.166,1,Hsph1,,,,,,,,,,
2.25E-20,0.404536998,0.362,0.27,1,Ywhab,,,,,,,,,,
2.13E-22,0.403041045,0.365,0.287,1,Srsf3,,,,,,,,,,
3.96E-13,0.4014888,0.22,0.136,1,Gimap4,,,,,,,,,,
0,1.488951713,0.906,0.345,2,Vsig4,,Kuppfer cell,,,,,,,,
0,1.480519952,0.967,0.524,2,Cd5l,,,,,,,,,,
0,1.467241785,0.858,0.332,2,Fcna,,,,,,,,,,
0,1.449791811,0.927,0.402,2,Cfp,,,,,,,,,,
0,1.448411485,0.968,0.45,2,C1qc,,,,,,,,,,
0,1.357052699,0.967,0.55,2,Clec4f,,,,,,,,,,
1.32903658731295e-321,1.348094516,0.876,0.347,2,Ctsc,,,,,,,,,,
8.18E-203,1.322652579,0.642,0.158,2,Adgre1,,,,,,,,,,
7.00E-142,1.293986,0.45,0.097,2,Fabp7,,,,,,,,,,
0,1.293265386,0.965,0.511,2,C1qa,,,,,,,,,,
4.59E-267,1.292035418,0.818,0.28,2,Csf1r,,,,,,,,,,
5.16E-157,1.249048721,0.564,0.147,2,Lpl,,,,,,,,,,
0,1.19312024,0.964,0.603,2,Wfdc17,,,,,,,,,,
2.22E-175,1.189042552,0.64,0.185,2,Sdc3,,,,,,,,,,
1.26E-169,1.187901288,0.642,0.195,2,Folr2,,,,,,,,,,
2.10E-81,1.153791735,0.345,0.109,2,Marco,,,,,,,,,,
1.93E-118,1.144297871,0.445,0.109,2,Slc40a1,,,,,,,,,,
5.75E-158,1.135292994,0.637,0.203,2,Pltp,,,,,,,,,,
0,1.130550254,0.974,0.627,2,C1qb,,,,,,,,,,
6.21E-57,1.12877412,0.222,0.064,2,Cxcl13,,,,,,,,,,
2.93E-134,1.126590707,0.511,0.131,2,Il18bp,,,,,,,,,,
4.09E-151,1.094882267,0.65,0.238,2,Creg1,,,,,,,,,,
2.42E-87,1.080064256,0.294,0.054,2,Cd163,,,,,,,,,,
2.97E-95,1.077080085,0.434,0.133,2,Gdf15,,,,,,,,,,
3.43E-282,1.076528453,0.934,0.507,2,Ctss,,,,,,,,,,
4.86E-114,1.060249319,0.457,0.117,2,Axl,,,,,,,,,,
6.30E-95,1.059059188,0.35,0.075,2,Spic,,,,,,,,,,
1.01E-134,1.058870385,0.601,0.205,2,Hpgd,,,,,,,,,,
1.04E-65,1.041457674,0.323,0.107,2,Il10,,,,,,,,,,
5.28E-103,1.025171339,0.375,0.081,2,Timd4,,,,,,,,,,
1.44E-93,1.023697353,0.293,0.049,2,C6,,,,,,,,,,
4.19E-97,1.01474378,0.405,0.104,2,Pilra,,,,,,,,,,
1.87E-100,0.998716257,0.407,0.102,2,Tnfaip2,,,,,,,,,,
4.79E-219,0.996149111,0.885,0.452,2,Lgmn,,,,,,,,,,
1.70E-269,0.992582746,0.943,0.657,2,Id2,,,,,,,,,,
1.86E-77,0.982681252,0.338,0.088,2,Pmp22,,,,,,,,,,
4.77E-102,0.971622941,0.438,0.118,2,Cd300ld,,,,,,,,,,
0,0.967302111,0.991,0.829,2,Ctsb,,,,,,,,,,
3.20E-81,0.966588726,0.307,0.066,2,Pla2g15,,,,,,,,,,
1.28E-79,0.963421326,0.266,0.047,2,Itgb5,,,,,,,,,,
1.07E-123,0.942732223,0.601,0.208,2,Cybb,,,,,,,,,,
2.91E-150,0.941943499,0.754,0.331,2,Grn,,,,,,,,,,
1.17E-74,0.929155622,0.272,0.055,2,Fcgr1,,,,,,,,,,
2.06E-72,0.927681754,0.194,0.023,2,Pcolce2,,,,,,,,,,
4.95E-111,0.927636528,0.572,0.205,2,Smpdl3a,,,,,,,,,,
1.00E-104,0.913478715,0.576,0.221,2,Hilpda,,,,,,,,,,
5.23E-71,0.907825692,0.234,0.04,2,Fpr1,,,,,,,,,,
3.14E-78,0.894141323,0.337,0.086,2,Nr1h3,,,,,,,,,,
7.30E-106,0.888127545,0.591,0.225,2,Cd68,,,,,,,,,,
1.80E-81,0.885619486,0.337,0.083,2,Cd300c2,,,,,,,,,,
3.77E-72,0.884357653,0.289,0.066,2,Clec4a3,,,,,,,,,,
3.35E-51,0.881830698,0.156,0.022,2,Cd207,,,,,,,,,,
1.69E-166,0.881813187,0.876,0.614,2,Id3,,,,,,,,,,
7.12E-77,0.881237646,0.241,0.04,2,Lilra5,,,,,,,,,,
6.96E-80,0.877513386,0.404,0.125,2,Fcgr3,,,,,,,,,,
2.67E-120,0.862148634,0.752,0.387,2,Rgs1,,,,,,,,,,
2.77E-159,0.855624999,0.92,0.668,2,Cxcl2,,,,,,,,,,
4.08E-97,0.843101786,0.562,0.213,2,Blvrb,,,,,,,,,,
2.82E-70,0.842668206,0.379,0.122,2,Acp5,,,,,,,,,,
3.14E-102,0.834791224,0.629,0.263,2,Cebpb,,,,,,,,,,
5.78E-117,0.830494202,0.803,0.492,2,Hmox1,,,,,,,,,,
3.62E-95,0.830030554,0.573,0.225,2,Ctsh,,,,,,,,,,
2.79E-52,0.818262201,0.163,0.024,2,Gbp2b,,,,,,,,,,
9.16E-56,0.817499733,0.225,0.049,2,Clec4a1,,,,,,,,,,
1.12E-127,0.814721255,0.771,0.364,2,Ccl6,,,,,,,,,,
1.43E-63,0.813659515,0.284,0.073,2,Hck,,,,,,,,,,
2.53E-90,0.811658936,0.581,0.242,2,Aif1,,,,,,,,,,
1.35E-58,0.808239883,0.307,0.091,2,Clec12a,,,,,,,,,,
8.85E-65,0.802430834,0.35,0.11,2,Mafb,,,,,,,,,,
2.47E-86,0.800001283,0.614,0.283,2,Il1b,,,,,,,,,,
1.06E-46,0.790231973,0.225,0.059,2,Tmem37,,,,,,,,,,
2.68E-62,0.788200892,0.415,0.158,2,Cd14,,,,,,,,,,
1.84E-58,0.786410978,0.293,0.084,2,Dmpk,,,,,,,,,,
5.65E-87,0.784766815,0.51,0.188,2,Igf1,,,,,,,,,,
4.38E-86,0.783456245,0.569,0.238,2,Gngt2,,,,,,,,,,
4.98E-72,0.780391445,0.406,0.137,2,Lipa,,,,,,,,,,
5.60E-63,0.778482737,0.328,0.1,2,Fcgr4,,,,,,,,,,
2.46E-61,0.777703351,0.295,0.083,2,Ctla2b,,,,,,,,,,
7.79E-57,0.777650963,0.221,0.048,2,C4b,,,,,,,,,,
1.30E-55,0.774586307,0.233,0.055,2,Igsf6,,,,,,,,,,
7.19E-84,0.7717865,0.607,0.278,2,Ifi30,,,,,,,,,,
5.05E-59,0.769841808,0.262,0.067,2,Pilrb1,,,,,,,,,,
2.36E-53,0.769401613,0.251,0.066,2,Apobec1,,,,,,,,,,
1.60E-117,0.767994933,0.801,0.46,2,Sat1,,,,,,,,,,
9.72E-73,0.762851661,0.464,0.177,2,Clec1b,,,,,,,,,,
8.46E-51,0.760302518,0.207,0.045,2,Tbxas1,,,,,,,,,,
6.68E-50,0.758279024,0.213,0.05,2,Treml4,,,,,,,,,,
9.97E-76,0.757954522,0.576,0.268,2,Ccl3,,,,,,,,,,
1.77E-46,0.755896664,0.226,0.06,2,Tmem86a,,,,,,,,,,
1.54E-71,0.755133138,0.492,0.2,2,Ctsa,,,,,,,,,,
3.88E-206,0.752913583,0.978,0.765,2,Gpx1,,,,,,,,,,
5.22E-52,0.751840408,0.236,0.06,2,Adgre4,,,,,,,,,,
3.24E-77,0.74775152,0.506,0.201,2,Hexa,,,,,,,,,,
6.01E-72,0.746766708,0.499,0.206,2,Spi1,,,,,,,,,,
2.73E-50,0.742997749,0.26,0.075,2,Actn1,,,,,,,,,,
1.43E-44,0.739485797,0.247,0.074,2,Rab32,,,,,,,,,,
5.83E-126,0.735972287,0.863,0.548,2,Ctsd,,,,,,,,,,
1.09E-69,0.735015311,0.509,0.216,2,Unc93b1,,,,,,,,,,
1.60E-105,0.729717475,0.787,0.445,2,AW112010,,,,,,,,,,
5.57E-46,0.726821653,0.197,0.046,2,C3ar1,,,,,,,,,,
1.92E-67,0.726573564,0.4,0.141,2,St3gal5,,,,,,,,,,
6.82E-54,0.718238221,0.286,0.087,2,Ly86,,,,,,,,,,
1.23E-61,0.716320204,0.434,0.174,2,Rasgef1b,,,,,,,,,,
8.97E-224,0.715509344,0.982,0.738,2,Lyz2,,,,,,,,,,
2.92E-53,0.71543921,0.25,0.068,2,Slc11a1,,,,,,,,,,
2.00E-46,0.711985049,0.152,0.026,2,Cd300e,,,,,,,,,,
4.09E-57,0.706896776,0.419,0.17,2,Ftl1-ps1,,,,,,,,,,
1.23E-51,0.706241466,0.266,0.078,2,Atp6v1b2,,,,,,,,,,
2.85E-210,0.703844307,0.979,0.793,2,Ftl1,,,,,,,,,,
1.77E-90,0.702253663,0.73,0.394,2,Cd83,,,,,,,,,,
5.87E-31,0.701618886,0.186,0.063,2,Ccl7,,,,,,,,,,
4.19E-57,0.700504045,0.449,0.194,2,Ccrl2,,,,,,,,,,
1.33E-44,0.700422991,0.217,0.059,2,Pirb,,,,,,,,,,
1.06E-90,0.690457561,0.647,0.296,2,Mpeg1,,,,,,,,,,
6.98E-50,0.690004644,0.242,0.068,2,AB124611,,,,,,,,,,
2.19E-68,0.686252113,0.567,0.27,2,Vcam1,,,,,,,,,,
3.19E-45,0.686106563,0.185,0.042,2,Cd300a,,,,,,,,,,
2.80E-46,0.684130333,0.249,0.075,2,Fyb,,,,,,,,,,
5.87E-47,0.675588562,0.199,0.048,2,Lrp1,,,,,,,,,,
5.13E-42,0.669255983,0.185,0.045,2,Siglece,,,,,,,,,,
9.75E-36,0.664066063,0.162,0.039,2,Lpcat2,,,,,,,,,,
3.74E-44,0.66272535,0.163,0.032,2,Klra2,,,,,,,,,,
7.59E-45,0.656927232,0.188,0.045,2,Abca1,,,,,,,,,,
2.50E-67,0.648363172,0.569,0.27,2,Lilrb4a,,,,,,,,,,
2.08E-41,0.647092051,0.304,0.117,2,Sirpa,,,,,,,,,,
5.75E-74,0.640334102,0.648,0.329,2,Sdcbp,,,,,,,,,,
1.41E-36,0.636473586,0.285,0.113,2,Tnf,,,,,,,,,,
5.14E-41,0.634157997,0.252,0.086,2,Ms4a6c,,,,,,,,,,
6.87E-81,0.629517629,0.706,0.374,2,Lamp1,,,,,,,,,,
1.81E-38,0.629417731,0.169,0.041,2,Pilrb2,,,,,,,,,,
9.06E-52,0.627134236,0.304,0.106,2,Ptgs1,,,,,,,,,,
1.05E-39,0.626689863,0.248,0.084,2,Bin2,,,,,,,,,,
2.80E-54,0.624877263,0.357,0.135,2,Ccl24,,,,,,,,,,
8.84E-109,0.623778504,0.863,0.523,2,Fcer1g,,,,,,,,,,
5.96E-118,0.615854636,0.915,0.607,2,Tyrobp,,,,,,,,,,
9.43E-38,0.613003482,0.239,0.082,2,Mertk,,,,,,,,,,
1.57E-40,0.611287983,0.322,0.131,2,Irf7,,,,,,,,,,
2.31E-55,0.608894857,0.505,0.246,2,Cd164,,,,,,,,,,
6.92E-33,0.607984168,0.166,0.045,2,Slc25a33,,,,,,,,,,
1.96E-48,0.606158816,0.44,0.204,2,Man2b1,,,,,,,,,,
6.98E-112,0.605248015,0.938,0.747,2,Nfkbia,,,,,,,,,,
1.28E-37,0.603880656,0.201,0.061,2,Ear2,,,,,,,,,,
2.64E-42,0.596788832,0.342,0.144,2,Slfn2,,,,,,,,,,
