overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,2510002D24Rik,Lrrc59,Rps27,Clec12a,,,Eif5a,,,Aph1a,Ergic3,Clic1,Bcl7c,,Rps6,Rps28,,,Ampd3,Ifi47,Dmkn,Atp1b3,,,
,,2610002J02Rik,Lsm4,Rps3a1,Clns1a,,,Erh,,,Arf3,Exosc5,Clta,Blnk,,Rps8,Scand1,,,Anapc11,Igbp1,Dnaja1,Atp2b1,,,
,,2610035D17Rik,Lsm6,Rtcb,Clpp,,,Etfb,,,Arf5,Fam114a2,Cmtm7,Bloc1s2,,Rps9,Sec61b,,,Ankfy1,Iqgap1,Dpy30,Atp5c1,,,
,,2610524H06Rik,Ly6c2,Sdf4,Cmc1,,,Exosc5,,,Arfgef1,Fam98c,Cnih4,Bmp2k,,Sdhb,Sell,,,Anxa6,Irf2,Dtymk,Atp5e,,,
,,2610528E23Rik,Magt1,Selenof,Cope,,,Exosc7,,,Arfgef2,Fcrla,Commd4,Bmyc,,Sub1,Selplg,,,Anxa7,Jarid2,Dut,Atp5h,,,
,,2700007P21Rik,Man1a,Selenoh,Cops7a,,,Fbl,,,Arhgap21,Foxp1,Coro1a,Brd2,,Tmem50a,Serinc3,,,Ap1s2,Jun,Eef1b2,Atp5l,,,
,,2700029M09Rik,Mcm3,Selenow,Cox7c,,,Fkbp1a,,,Arhgap32,Gatad1,Coro1b,Bri3bp,,Trmt112,Serp1,,,Ap2a2,Junb,Eef1g,Atp6ap1,,,
,,2700089E24Rik,Med21,Slirp,Csda,,,Fkbp3,,,Arhgef10,Glrx3,Cotl1,Bscl2,,,Slc25a4,,,Ap2s1,Kctd12,Eif1ax,Atp6v0b,,,
,,2810002N01Rik,Mef2c,Snu13,Csrp1,,,Fkbp4,,,Arhgef10l,Gm13476,Cox5b,Bst2,,,Spn,,,Ap3m1,Kdelr1,Eif2s1,Atp6v0e,,,
,,2810006K23Rik,Mir703,Snx5,Ctla2a,,,Fundc2,,,Arid1a,Grap,Cox6b1,C030046I01Rik,,,Ssr2,,,Apaf1,Kdm6b,Eif2s2,Atp6v1b2,,,
,,2810008D09Rik,Mosc2,Sp110,Cuedc2,,,G3bp1,,,Arid1b,H2-Ab1,Creg1,Calcoco1,,,Ssr4,,,Apba1,Klf2,Eif3c,Aup1,,,
,,2810025M15Rik,Myb,Srsf11,Cyc1,,,Gadd45gip1,,,Arid3b,H2-Eb1,Crip1,Canx,,,Stx7,,,Aph1c,Lgals3bp,Eif3d,BC028528,,,
,,2810422J05Rik,Mybbp1a,Tceal9,D17Wsu104e,,,Gas5,,,Ascc3,H2-Q4,Csf1r,Card11,,,Tagln2,,,Api5,Lsm10,Eif3g,BC147527,,,
,,2810428I15Rik,Naa50,Tmem258,D19Bwg1357e,,,Glrx3,,,Atad2b,H3f3b,Csf2ra,Cbfa2t3,,,Tbca,,,Apobr,Ly96,Eif3i,Bach1,,,
,,2810432D09Rik,Nars,Tpt1,Dars,,,Gsto1,,,Atm,Haus3,Ctsc,Ccdc162,,,Tifab,,,Arap1,Lyl1,Eif4a1,Bax,,,
,,2900064A13Rik,Nedd4,Tra2b,Ddrgk1,,,H2afy,,,Atp13a3,Hint2,Cwc15,Ccdc23,,,Tmed10,,,Arf2,Macf1,Eif4a3,Bloc1s1,,,
,,3110003A17Rik,Ola1,Uqcc2,Ddx18,,,Hdgf,,,Atp1a3,Hist2h2aa1,Cyba,Ccdc50,,,Tmed9,,,Arf5,Marcks,Eif5a,Blvra,,,
,,3110040N11Rik,Ost4,Uqcrc2,Denr,,,Hint1,,,Atp2b4,Hist3h2a,Cycs,Ccdc88a,,,Tmem147,,,Arhgap31,Mbnl1,Elane,Bmyc,,,
,,3110062M04Rik,Pdcd4,Uqcrh,Dnajc19,,,Hnrnpab,,,Atp5e,Hist3h2ba,Cytip,Ccnd1,,,Tpd52,,,Arhgef10l,Mcl1,Elovl5,Bri3,,,
,,3110082I17Rik,Pdha1,Zfas1,Dpm3,,,Hnrnpc,,,Atp5k,Hmg20b,Dbi,Ccnl1,,,Tyrobp,,,Arhgef37,Mtpn,Emc2,Bscl2,,,
,,3230401D17Rik,Pdia3,mt-Co1,Dpy30,,,Hsp90aa1,,,Atp5l,Hmgn1,Ddx39,Ccr5,,,Ubc,,,Arhgef7,Mycbp2,Emc6,C1galt1c1,,,
,,4732418C07Rik,Pdia4,mt-Cytb,Drap1,,,Hsp90ab1,,,Atp6ap2,Hvcn1,Degs1,Ccr9,,,Unc93b1,,,Arl8a,Myl12b,Emg1,C3,,,
,,4921513D23Rik,Pigt,mt-Nd1,Dtd1,,,Hspd1,,,Atp6v0b,Ifi203,Dek,Cd164,,,Ywhae,,,Arrb1,Nedd8,Erh,Calm1,,,
,,4921524J17Rik,Polr2m,mt-Nd2,Dtnbp1,,,Hspe1,,,Atp6v1g1,Ifi35,Dnajc15,Cd200,,,,,,Arrdc3,Neurl3,Etfb,Camk1d,,,
,,4930455C21Rik,Prdx4,mt-Nd4,Ebna1bp2,,,Idh2,,,Atp8a1,Ifi47,Dnajc19,Cd209a,,,,,,Arsb,Nfic,Exosc5,Camkk2,,,
,,4930455F23Rik,Prkcsh,,Echs1,,,Idh3g,,,Atp8b2,Imp3,Dusp1,Cd209d,,,,,,Ass1,Nfkbia,Exosc8,Capg,,,
,,4930534B04Rik,Rad23b,,Edem2,,,Ifitm1,,,Atxn7,Jund,Eef1b2,Cd2ap,,,,,,Atad2b,Ninj1,Fam162a,Capn2,,,
,,4931406C07Rik,Rasgrp2,,Eef1e1,,,Ift20,,,Azi2,Klf6,Eif3i,Cd300c,,,,,,Atf6,Nsa2,Fam173a,Capns1,,,
,,4933434E20Rik,Rcc2,,Egfl7,,,Igfbp4,,,B4galt5,Krcc1,Eif4a1,Cd4,,,,,,Atf6b,Pfdn5,Fcnb,Capza2,,,
,,4933439F18Rik,Rn45s,,Eif1a,,,Impdh2,,,BC005537,Lrrc47,Emb,Cd47,,,,,,Atg7,Pkm2,Fkbp3,Capzb,,,
,,5033414D02Rik,Rpia,,Eif2s1,,,Krtcap2,,,BC013712,Map3k1,Emilin2,Cd7,,,,,,Atmin,Pold4,Fkbp4,Casp1,,,
,,5730437N04Rik,Rpl31-ps12,,Eif4e,,,Llph,,,BC016423,Map4k1,Ethe1,Cdh1,,,,,,Atp5f1,Polr1d,G3bp1,Cbfa2t3,,,
,,5730455O13Rik,Rpn2,,Eltd1,,,Lmo2,,,BC031353,Mat2b,F13a1,Cdh5,,,,,,Atp5k,Polr2e,Gas5,Ccdc109b,,,
,,5730494N06Rik,Rps15a-ps4,,Emilin1,,,Lsm2,,,Bcr,Mbd3,Fabp5,Chd2,,,,,,Atp6v0c,Pou2f2,Gatm,Ccdc12,,,
,,5730528L13Rik,Rps15a-ps6,,Eny2,,,Lsm7,,,Birc6,Mdp1,Fam49b,Chd9,,,,,,Atp6v0d1,Ppp2r5a,Glrx3,Ccdc50,,,
,,5730590G19Rik,Sdf2l1,,Erdr1,,,Lyar,,,Blcap,Mgat2,Fam96a,Chdh,,,,,,Atp6v1a,Ptp4a2,Gm10736,Ccdc85b,,,
,,6030458C11Rik,Sec11c,,Ergic3,,,Magoh,,,Bloc1s1,Mlf2,Fcgr3,Chmp4b,,,,,,Atp7a,Ptpn6,Gng12,Ccdc88a,,,
,,6230427J02Rik,Sel1l,,Exosc1,,,Manf,,,Bptf,Mll5,Fkbp1a,Cib1,,,,,,B4galt5,Ptprc,Gorasp2,Ccl2,,,
,,6530401N04Rik,Selm,,Exosc6,,,Mat2a,,,Brd1,Mndal,Fkbp3,Cldn25,,,,,,B630005N14Rik,Ptprj,Gpi1,Ccl3,,,
,,6720463M24Rik,Serpine2,,Fabp5,,,Mcm5,,,Bri3,Mrpl24,Flna,Clec10a,,,,,,BC005537,Rab14,Grpel1,Ccl6,,,
,,8430406I07Rik,Slc3a2,,Fam136a,,,Mdh1,,,Btaf1,Mrps16,Fn1,Clec12a,,,,,,BC013712,Rel,Hnrnpab,Ccl9,,,
,,8430410A17Rik,Snd1,,Fam162a,,,Mif,,,C130026I21Rik,Mrps34,Fos,Clec2d,,,,,,Bad,Rgs2,Hnrnpc,Ccr2,,,
,,9030619P08Rik,Snhg1,,Fam165b,,,Mpo,,,C330006A16Rik,Msi2,Ftl1,Clec9a,,,,,,Bak1,Rhoa,Hsp90aa1,Cd14,,,
,,9130401M01Rik,Sox4,,Fam173a,,,Mrpl12,,,Cacna1e,Mtch1,Fxyd5,Clic4,,,,,,Batf,Rhob,Hsp90ab1,Cd2ap,,,
,,9330020H09Rik,Spcs2,,Fdps,,,Mrpl18,,,Cadm1,Mtss1,Glipr1,Cmah,,,,,,Batf3,Rpl24,Hsp90b1,Cd300a,,,
,,9430016H08Rik,Spcs3,,Fkbp2,,,Mrpl34,,,Calhm2,Mvd,Glud1,Cnpy2,,,,,,Bbc3,Samsn1,Hspe1,Cd300lb,,,
,,A230050P20Rik,Srgn,,Fut8,,,Mrpl36,,,Camk1d,Naca,Gm10736,Cnpy3,,,,,,Bcl6,Sell,Idh2,Cd300lg,,,
,,A430005L14Rik,Srp68,,G6pc3,,,Mrpl42,,,Capn5,Nsa2,Gm15427,Commd6,,,,,,Bet1l,Sepw1,Ier3ip1,Cd302,,,
,,A630055G03Rik,Srp9,,Gabarapl1,,,Mrpl54,,,Capns1,Nsmce2,Gm42418,Cope,,,,,,Bid,Serp1,Ift20,Cd44,,,
,,A630072M18Rik,Srpr,,Galk1,,,Mrps12,,,Card6,Nudcd3,Gm9843,Coro2a,,,,,,Bin3,Shisa5,Igfbp4,Cd48,,,
,,AI316807,Srrm2,,Gapdh,,,Mrps14,,,Casc3,Nxf1,Gstm1,Cox6a2,,,,,,Bmp2k,Skint3,Impdh1,Cd52,,,
,,AI462493,Srsf1,,Gar1,,,Mrto4,,,Cbl,Pafah1b3,Gsto1,Creb3,,,,,,Bnip2,Snap23,Impdh2,Cd68,,,
,,AI848285,Ssr3,,Gatm,,,Mtdh,,,Cblb,Pddc1,H2afv,Creld2,,,,,,Brms1,Sod2,Kdelr2,Cd84,,,
,,AW209491,Stip1,,Gcsh,,,Naa10,,,Cbx4,Pdia3,H2afx,Csda,,,,,,Brpf1,Spop,Krtcap2,Cd97,,,
,,Aamp,Strap,,Glipr1,,,Naca,,,Cbx7,Pigp,H2afz,Csde1,,,,,,Bst2,Stk24,Llph,Cdc42,,,
,,Aasdhppt,Stt3a,,Gnb2l1,,,Nap1l1,,,Ccdc134,Pik3ip1,H3f3a,Csf2rb,,,,,,Calhm2,Tab2,Lman2,Cdk2ap2,,,
