p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,,,
1.53E-44,0.687303912,0.422,0.193,1,Acy3,,,,,,,,,,,
4.17E-34,0.686517364,0.299,0.134,1,Gstp1,,,,,,,,,,,
6.23E-37,0.685535218,0.366,0.186,1,Dnajc19,,,,,,,,,,,
2.55E-99,0.681759672,0.805,0.555,1,Hint1,,,,,,,,,,,
6.13E-32,0.680491442,0.205,0.068,1,Ddc,,,,,,,,,,,
1.53E-27,0.678739402,0.212,0.087,1,Asl,,,,,,,,,,,
2.16E-30,0.676499315,0.202,0.07,1,Slc25a10,,,,,,,,,,,
5.04E-49,0.676392373,0.457,0.243,1,Vdac1,,,,,,,,,,,
1.28E-29,0.67330844,0.26,0.115,1,Lap3,,,,,,,,,,,
8.53E-53,0.670773717,0.56,0.332,1,Slc25a39,,,,,,,,,,,
3.47E-27,0.66797225,0.217,0.092,1,Mrps35,,,,,,,,,,,
6.46E-29,0.666870427,0.194,0.066,1,Lactb2,,,,,,,,,,,
7.65E-33,0.662677727,0.326,0.162,1,Mettl26,,,,,,,,,,,
7.83E-28,0.661306268,0.167,0.052,1,Shmt2,,,,,,,,,,,
1.28E-27,0.661030503,0.21,0.085,1,Alad,,,,,,,,,,,
8.04E-26,0.6543361,0.191,0.078,1,Rbpms2,,,,,,,,,,,
1.06E-32,0.651875176,0.334,0.168,1,Cib1,,,,,,,,,,,
9.64E-31,0.651210364,0.284,0.128,1,Spr,,,,,,,,,,,
1.18E-34,0.651033962,0.36,0.189,1,Mrpl12,,,,,,,,,,,
5.96E-27,0.647496255,0.211,0.082,1,Acot1,,,,,,,,,,,
3.77E-26,0.645048072,0.23,0.101,1,Rnf181,,,,,,,,,,,
7.80E-52,0.644443155,0.562,0.314,1,Sod1,,,,,,,,,,,
2.75E-24,0.643833532,0.186,0.075,1,Fggy,,,,,,,,,,,
1.03E-30,0.642251986,0.308,0.153,1,Rab5c,,,,,,,,,,,
1.71E-27,0.638354397,0.246,0.112,1,Mocs2,,,,,,,,,,,
9.43E-36,0.638205909,0.358,0.17,1,Gsto1,,,,,,,,,,,
3.57E-40,0.631015389,0.447,0.239,1,Lamtor5,,,,,,,,,,,
1.92E-23,0.629568051,0.168,0.064,1,Aspdh,,,,,,,,,,,
3.79E-131,0.627856224,0.942,0.736,1,Mdh1,,,,,,,,,,,
2.93E-37,0.62313191,0.373,0.176,1,Rdh16f2,,,,,,,,,,,
2.31E-26,0.622361769,0.179,0.06,1,Ankrd13c,,,,,,,,,,,
7.60E-32,0.618628538,0.335,0.169,1,Vps29,,,,,,,,,,,
2.39E-22,0.617051243,0.176,0.068,1,Lyplal1,,,,,,,,,,,
5.91E-25,0.616890785,0.2,0.077,1,Hmgcl,,,,,,,,,,,
1.43E-23,0.615050301,0.227,0.106,1,Dhrs1,,,,,,,,,,,
1.15E-24,0.609208934,0.152,0.048,1,Ak4,,,,,,,,,,,
7.05E-59,0.607315921,0.677,0.433,1,Cisd1,,,,,,,,,,,
7.81E-26,0.606189865,0.298,0.166,1,Acaa2,,,,,,,,,,,
9.06E-25,0.597512892,0.304,0.169,1,Psma4,,,,,,,,,,,
4.03E-49,0.596048432,0.608,0.392,1,Ndufv3,,,,,,,,,,,
4.52E-43,0.591984298,0.522,0.325,1,Eif5a,,,,,,,,,,,
4.77E-25,0.591182908,0.267,0.129,1,Hdgf,,,,,,,,,,,
3.95E-23,0.59080903,0.233,0.116,1,Smim1,,,,,,,,,,,
8.97E-22,0.588386223,0.199,0.086,1,Tango2,,,,,,,,,,,
1.82E-108,0.584584898,0.925,0.743,1,Prdx5,,,,,,,,,,,
3.67E-20,0.583686917,0.218,0.109,1,Ak2,,,,,,,,,,,
9.70E-36,0.58057127,0.491,0.304,1,Ndufb3,,,,,,,,,,,
5.14E-22,0.579704869,0.228,0.104,1,Tnfaip8,,,,,,,,,,,
4.08E-18,0.570222437,0.176,0.083,1,Clybl,,,,,,,,,,,
1.56E-23,0.568638335,0.293,0.167,1,Prelid1,,,,,,,,,,,
1.73E-19,0.568143607,0.194,0.086,1,Plekhb2,,,,,,,,,,,
9.71E-21,0.5674417,0.197,0.089,1,Ppa2,,,,,,,,,,,
1.49E-19,0.565107015,0.192,0.086,1,Cisd3,,,,,,,,,,,
2.88E-66,0.564620463,0.743,0.552,1,Uqcrfs1,,,,,,,,,,,
1.45E-25,0.564473581,0.365,0.214,1,Mpc1,,,,,,,,,,,
6.52E-36,0.563513198,0.511,0.328,1,Swi5,,,,,,,,,,,
7.81E-22,0.563454205,0.251,0.124,1,Sephs2,,,,,,,,,,,
4.01E-20,0.56060872,0.172,0.068,1,Mpp1,,,,,,,,,,,
1.30E-18,0.560488145,0.158,0.065,1,Ugp2,,,,,,,,,,,
1.42E-22,0.559331487,0.269,0.135,1,Mrpl18,,,,,,,,,,,
2.40E-44,0.554873519,0.632,0.415,1,Ldha,,,,,,,,,,,
2.05E-21,0.554042388,0.29,0.156,1,Ftl1-ps1,,,,,,,,,,,
4.05E-19,0.552862097,0.181,0.078,1,Mrpl50,,,,,,,,,,,
3.05E-23,0.552385384,0.297,0.175,1,Calm3,,,,,,,,,,,
4.26E-17,0.552021176,0.226,0.12,1,Cndp2,,,,,,,,,,,
1.41E-18,0.550151796,0.203,0.1,1,Snhg18,,,,,,,,,,,
7.03E-20,0.548317809,0.259,0.136,1,Gstk1,,,,,,,,,,,
5.89E-50,0.547509425,0.671,0.487,1,Rps27l,,,,,,,,,,,
4.16E-22,0.542408573,0.307,0.175,1,Suclg2,,,,,,,,,,,
3.65E-34,0.537995896,0.516,0.341,1,Idh3b,,,,,,,,,,,
1.41E-17,0.537241081,0.18,0.08,1,Cth,,,,,,,,,,,
8.67E-17,0.535742429,0.153,0.065,1,Cpt2,,,,,,,,,,,
1.34E-16,0.535270234,0.193,0.093,1,C1d,,,,,,,,,,,
6.59E-22,0.533708424,0.326,0.198,1,Adh5,,,,,,,,,,,
1.14E-18,0.531475468,0.188,0.09,1,Pdk2,,,,,,,,,,,
2.94E-27,0.524396122,0.461,0.291,1,Arpp19,,,,,,,,,,,
1.08E-114,0.519186197,0.778,0.432,1,Gstm1,,,,,,,,,,,
4.80E-18,0.517083438,0.262,0.146,1,Aprt,,,,,,,,,,,
9.10E-22,0.514590967,0.329,0.205,1,Snrpd3,,,,,,,,,,,
1.55E-18,0.514241876,0.277,0.163,1,Rab3ip,,,,,,,,,,,
1.38E-22,0.51031551,0.394,0.247,1,Skp1a,,,,,,,,,,,
2.89E-17,0.506841042,0.234,0.122,1,Fam195a,,,,,,,,,,,
1.41E-14,0.505206549,0.202,0.107,1,Prosc,,,,,,,,,,,
1.18E-15,0.504376924,0.217,0.117,1,Glod5,,,,,,,,,,,
1.54E-18,0.503131086,0.269,0.149,1,Commd3,,,,,,,,,,,
1.23E-28,0.502836404,0.476,0.32,1,Sod2,,,,,,,,,,,
7.32E-57,0.501229464,0.769,0.583,1,Eef1a1,,,,,,,,,,,
3.74E-25,0.499598038,0.438,0.287,1,Zfp706,,,,,,,,,,,
1.75E-21,0.498544726,0.382,0.248,1,Etfa,,,,,,,,,,,
3.89E-215,0.495781224,1,0.925,1,Fxyd2,,,,,,,,,,,
7.15E-15,0.490732478,0.234,0.133,1,Cenpx,,,,,,,,,,,
9.71E-20,0.49022036,0.339,0.21,1,Acadl,,,,,,,,,,,
2.80E-24,0.486342819,0.43,0.284,1,Idh3g,,,,,,,,,,,
3.65E-26,0.485811626,0.443,0.304,1,Prdx6,,,,,,,,,,,
1.32E-51,0.485145622,0.793,0.623,1,Mpc2,,,,,,,,,,,
1.64E-17,0.48483422,0.279,0.177,1,D10Jhu81e,,,,,,,,,,,
9.37E-15,0.484442043,0.23,0.129,1,Mrpl14,,,,,,,,,,,
1.06E-20,0.483671093,0.288,0.147,1,Slc22a8,,,,,,,,,,,
6.75E-16,0.479835821,0.188,0.092,1,RP23-269H21.1,,,,,,,,,,,
4.31E-14,0.479641017,0.197,0.107,1,Gadd45gip1,,,,,,,,,,,
5.61E-14,0.477998684,0.174,0.081,1,Maf,,,,,,,,,,,
6.94E-16,0.475937567,0.264,0.165,1,Sucla2,,,,,,,,,,,
2.53E-30,0.473811854,0.592,0.412,1,Atox1,,,,,,,,,,,
6.19E-19,0.470459219,0.373,0.25,1,Ndufa9,,,,,,,,,,,
1.72E-30,0.470389325,0.594,0.415,1,Sdhb,,,,,,,,,,,
1.34E-42,0.47036256,0.723,0.552,1,Ndufa6,,,,,,,,,,,
1.01E-17,0.470144851,0.353,0.222,1,Csrp2,,,,,,,,,,,
2.39E-15,0.470033494,0.291,0.179,1,Bnip3,,,,,,,,,,,
1.54E-69,0.470022667,0.893,0.734,1,Rpl10,,,,,,,,,,,
1.11E-23,0.469074476,0.392,0.275,1,Ndufa10,,,,,,,,,,,
6.58E-14,0.468827045,0.166,0.084,1,Psmd6,,,,,,,,,,,
1.24E-19,0.467747938,0.385,0.247,1,Txn2,,,,,,,,,,,
1.73E-12,0.462201196,0.151,0.075,1,Gcat,,,,,,,,,,,
2.74E-17,0.461840323,0.334,0.219,1,Bola3,,,,,,,,,,,
1.89E-12,0.461040793,0.153,0.075,1,Akr1e1,,,,,,,,,,,
8.03E-28,0.460720883,0.544,0.384,1,Ndufs7,,,,,,,,,,,
3.56E-15,0.458761568,0.247,0.141,1,Grpel1,,,,,,,,,,,
7.66E-19,0.458423187,0.365,0.242,1,Oat,,,,,,,,,,,
2.29E-17,0.457710167,0.342,0.227,1,Psmb1,,,,,,,,,,,
1.32E-14,0.457675584,0.277,0.168,1,C1qbp,,,,,,,,,,,
1.04E-15,0.456799768,0.297,0.184,1,Glud1,,,,,,,,,,,
3.21E-58,0.45600445,0.842,0.694,1,Rps2,,,,,,,,,,,
3.52E-16,0.453222536,0.311,0.211,1,Timm13,,,,,,,,,,,
6.51E-17,0.449587922,0.332,0.206,1,Lamtor2,,,,,,,,,,,
2.61E-13,0.449049605,0.212,0.123,1,Chp1,,,,,,,,,,,
5.31E-11,0.448096998,0.157,0.083,1,Mpst,,,,,,,,,,,
9.25E-20,0.44612632,0.443,0.306,1,Nop10,,,,,,,,,,,
3.70E-11,0.446050203,0.151,0.079,1,2310039H08Rik,,,,,,,,,,,
2.95E-22,0.445474958,0.475,0.346,1,Romo1,,,,,,,,,,,
7.86E-17,0.445246429,0.333,0.235,1,Mrps21,,,,,,,,,,,
7.42E-19,0.440895347,0.247,0.123,1,Acsm2,,,,,,,,,,,
1.14E-25,0.440693944,0.521,0.386,1,2410015M20Rik,,,,,,,,,,,
2.62E-11,0.439992514,0.192,0.107,1,Clpp,,,,,,,,,,,
7.47E-12,0.438613082,0.216,0.126,1,Ube2r2,,,,,,,,,,,
3.23E-15,0.437335235,0.311,0.195,1,Glrx5,,,,,,,,,,,
8.17E-14,0.435744707,0.296,0.196,1,Csnk2b,,,,,,,,,,,
1.27E-11,0.431954599,0.176,0.098,1,Bckdha,,,,,,,,,,,
1.21E-37,0.430684999,0.73,0.6,1,Ndufa2,,,,,,,,,,,
4.35E-16,0.429436841,0.361,0.253,1,Clta,,,,,,,,,,,
4.46E-12,0.429430445,0.19,0.113,1,Tmem126a,,,,,,,,,,,
6.35E-13,0.427924086,0.241,0.142,1,St13,,,,,,,,,,,
6.19E-14,0.427511858,0.306,0.202,1,Mrpl51,,,,,,,,,,,
3.63E-29,0.426670602,0.63,0.483,1,Gabarap,,,,,,,,,,,
1.10E-19,0.426492428,0.454,0.328,1,Uqcrc1,,,,,,,,,,,
1.05E-13,0.425936803,0.293,0.2,1,H2afj,,,,,,,,,,,
6.31E-11,0.425641693,0.192,0.114,1,Mrpl4,,,,,,,,,,,
1.20E-10,0.42531375,0.173,0.101,1,Mrpl36,,,,,,,,,,,
3.81E-11,0.42491697,0.193,0.11,1,Adhfe1,,,,,,,,,,,
4.00E-11,0.424694107,0.178,0.106,1,Polr2i,,,,,,,,,,,
4.99E-14,0.423705235,0.261,0.169,1,Phb2,,,,,,,,,,,
2.63E-17,0.421048651,0.412,0.277,1,Psmb6,,,,,,,,,,,
2.58E-20,0.419495539,0.492,0.361,1,Ndufs6,,,,,,,,,,,
2.13E-12,0.417987323,0.274,0.186,1,Hsd17b10,,,,,,,,,,,
4.80E-10,0.414776702,0.169,0.094,1,Cebpzos,,,,,,,,,,,
5.33E-11,0.413801168,0.188,0.105,1,Atp6v1b2,,,,,,,,,,,
1.14E-145,0.409397821,0.886,0.479,1,Spink1,,,,,,,,,,,
3.47E-12,0.409345979,0.248,0.154,1,1810058I24Rik,,,,,,,,,,,
2.99E-09,0.408761248,0.155,0.087,1,Snx6,,,,,,,,,,,
8.72E-12,0.408447775,0.278,0.179,1,Echdc2,,,,,,,,,,,
5.13E-15,0.40816578,0.36,0.252,1,Hspa9,,,,,,,,,,,
4.28E-10,0.404753358,0.182,0.114,1,Immp1l,,,,,,,,,,,
3.66E-11,0.40346244,0.199,0.125,1,Tmem242,,,,,,,,,,,
3.50E-10,0.402142303,0.186,0.104,1,Mrpl28,,,,,,,,,,,
2.83E-10,0.401681356,0.172,0.111,1,Coq9,,,,,,,,,,,
4.17E-26,0.401567852,0.6,0.47,1,Oaz1,,,,,,,,,,,
9.67E-14,0.400477498,0.296,0.177,1,Gclm,,,,,,,,,,,
2.36E-11,0.400378068,0.222,0.13,1,Dlst,,,,,,,,,,,
0,2.74121797,0.986,0.404,2,Umod,,Thick ascending limb of the loop of Henle,,,,,,,,,
0,2.647302309,0.919,0.168,2,Egf,,,,,,,,,,,
0,2.621468537,0.935,0.122,2,Slc12a1,,,,,,,,,,,
0,2.271291731,0.959,0.35,2,Wfdc15b,,,,,,,,,,,
3.61E-178,1.954206847,0.656,0.087,2,Sostdc1,,,,,,,,,,,
2.01E-217,1.732655665,0.904,0.233,2,Ppp1r1a,,,,,,,,,,,
3.08E-109,1.667319746,0.423,0.039,2,Gpx6,,,,,,,,,,,
7.48E-98,1.621170051,0.285,0.008,2,Cldn16,,,,,,,,,,,
1.50E-160,1.595745969,0.806,0.212,2,Kng2,,,,,,,,,,,
8.48E-248,1.579938995,0.974,0.471,2,Ly6a,,,,,,,,,,,
1.05E-128,1.525376409,0.61,0.216,2,Cldn10,,,,,,,,,,,
1.03E-92,1.468094013,0.517,0.105,2,Ckb,,,,,,,,,,,
2.06E-140,1.417402634,0.778,0.279,2,Mrps6,,,,,,,,,,,
1.09E-73,1.279654381,0.23,0.009,2,Ppp1r1b,,,,,,,,,,,
5.13E-63,1.229787141,0.244,0.017,2,Cldn19,,,,,,,,,,,
2.02E-77,1.215972182,0.605,0.2,2,Lpl,,,,,,,,,,,
8.83E-52,1.174192639,0.225,0.021,2,Ptger3,,,,,,,,,,,
2.18E-53,1.1186809,0.179,0.008,2,Egfl6,,,,,,,,,,,
6.76E-57,1.117975561,0.199,0.01,2,Pla1a,,,,,,,,,,,
1.70E-72,1.082920456,0.708,0.325,2,Wfdc2,,,,,,,,,,,
4.50E-129,1.074890883,0.94,0.495,2,Atp1a1,,,,,,,,,,,
4.59E-42,1.014733054,0.407,0.126,2,Fabp3,,,,,,,,,,,
8.79E-36,0.989749504,0.206,0.031,2,Mfsd4a,,,,,,,,,,,
4.90E-35,0.98179381,0.206,0.032,2,Clcnka,,,,,,,,,,,
4.47E-36,0.959506177,0.354,0.109,2,Cd59a,,,,,,,,,,,
7.04E-39,0.958818093,0.163,0.013,2,RP24-458J4.8,,,,,,,,,,,
2.09E-20,0.947879652,0.22,0.075,2,Sfrp1,,,,,,,,,,,
1.65E-43,0.934719593,0.16,0.009,2,Nccrp1,,,,,,,,,,,
1.04E-110,0.926629105,0.931,0.625,2,mt-Nd3,,,,,,,,,,,
2.93E-32,0.917408342,0.328,0.097,2,Tspan8,,,,,,,,,,,
6.37E-33,0.908172377,0.194,0.029,2,Baiap2l2,,,,,,,,,,,
7.96E-85,0.87539765,0.907,0.568,2,Atp1b1,,,,,,,,,,,
