p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,
2.28E-39,0.850651373,0.508,0.253,1,H2-DMb2,,,,,,,,
5.34E-149,0.829206125,0.944,0.648,1,H2-Aa,,,,,,,,
6.37E-20,0.814671542,0.195,0.057,1,Fcrl1,,,,,,,,
9.79E-22,0.811564821,0.206,0.067,1,Fcrla,,,,,,,,
2.08E-30,0.794597692,0.413,0.208,1,H2-DMa,,,,,,,,
1.61E-26,0.794538713,0.367,0.165,1,Unc93b1,,,,,,,,
1.27E-19,0.778804492,0.18,0.056,1,Tnfrsf13b,,,,,,,,
1.70E-149,0.761406468,0.686,0.178,1,Ighm,,,,,,,,
5.74E-19,0.760427858,0.226,0.1,1,Chchd10,,,,,,,,
4.70E-18,0.750313386,0.229,0.086,1,Snx2,,,,,,,,
4.01E-17,0.749113224,0.17,0.054,1,Mef2c,,,,,,,,
1.22E-18,0.731516948,0.268,0.118,1,Cd24a,,,,,,,,
3.69E-14,0.729753299,0.174,0.068,1,Cd55,,,,,,,,
3.98E-175,0.726870236,0.991,0.853,1,H2-Ab1,,,,,,,,
4.36E-26,0.720142561,0.359,0.161,1,Napsa,,,,,,,,
2.82E-12,0.670242037,0.166,0.072,1,Pou2f2,,,,,,,,
7.33E-14,0.66108641,0.187,0.07,1,Cd72,,,,,,,,
7.79E-14,0.659137284,0.168,0.068,1,Dok3,,,,,,,,
1.31E-15,0.641970609,0.291,0.167,1,Apobec3,,,,,,,,
1.88E-17,0.641511341,0.283,0.147,1,Smim14,,,,,,,,
5.50E-20,0.63951469,0.309,0.161,1,Capg,,,,,,,,
2.14E-36,0.634785688,0.359,0.131,1,Mzb1,,,,,,,,
5.03E-20,0.629043255,0.402,0.24,1,Serinc3,,,,,,,,
1.45E-10,0.627463148,0.179,0.084,1,Sh3bp5,,,,,,,,
1.12E-11,0.62328421,0.158,0.065,1,Cd83,,,,,,,,
6.02E-13,0.62277939,0.238,0.12,1,Pold4,,,,,,,,
5.27E-18,0.619756865,0.311,0.165,1,H2-Oa,,,,,,,,
2.23E-15,0.609219122,0.252,0.121,1,Ptp4a3,,,,,,,,
3.97E-14,0.597539234,0.29,0.167,1,Iglv1,,,,,,,,
8.07E-13,0.591023081,0.181,0.089,1,Pkig,,,,,,,,
5.49E-17,0.580953653,0.331,0.191,1,Arpc5l,,,,,,,,
4.63E-10,0.579802568,0.191,0.095,1,Bin1,,,,,,,,
1.09E-19,0.569787301,0.455,0.294,1,Serp1,,,,,,,,
3.75E-09,0.566168854,0.153,0.069,1,Arhgap17,,,,,,,,
6.50E-11,0.559059355,0.202,0.1,1,Lat2,,,,,,,,
5.09E-12,0.558212267,0.198,0.09,1,Ly86,,,,,,,,
1.08E-34,0.548362896,0.735,0.586,1,H3f3a,,,,,,,,
5.25E-14,0.546170335,0.344,0.219,1,Ptpn6,,,,,,,,
2.70E-09,0.5302568,0.256,0.155,1,Ms4a4c,,,,,,,,
3.97E-13,0.529706991,0.223,0.103,1,Irf8,,,,,,,,
5.95E-09,0.515118767,0.173,0.09,1,Aldh2,,,,,,,,
7.98E-08,0.501377419,0.16,0.087,1,Gpr18,,,,,,,,
1.41E-13,0.493160897,0.451,0.306,1,Ly6a,,,,,,,,
7.91E-11,0.490942516,0.266,0.173,1,Hmgn1,,,,,,,,
3.32E-60,0.477131282,0.951,0.835,1,Ly6e,,,,,,,,
1.64E-09,0.459992011,0.265,0.157,1,Ctsh,,,,,,,,
8.68E-19,0.451933496,0.442,0.269,1,Plac8,,,,,,,,
1.41E-10,0.445818771,0.172,0.101,1,Csk,,,,,,,,
2.42E-09,0.440948712,0.236,0.146,1,Tmem123,,,,,,,,
7.60E-06,0.430290597,0.182,0.11,1,Foxp1,,,,,,,,
2.97E-06,0.400212908,0.23,0.145,1,Id3,,,,,,,,
2.58E-81,1.375160178,0.539,0.141,2,Trac,,T cell,,,,,,
2.18E-127,1.342772864,0.793,0.337,2,Trbc2,,,,,,,,
1.70E-55,1.325137669,0.405,0.128,2,Cd8b1,,,,,,,,
1.24E-77,1.313772909,0.54,0.154,2,Cd3g,,,,,,,,
2.48E-107,1.223906132,0.748,0.283,2,Ms4a4b,,,,,,,,
1.62E-37,1.174488735,0.264,0.056,2,Cd8a,,,,,,,,
1.73E-58,1.158002419,0.484,0.148,2,Lat,,,,,,,,
3.66E-44,1.145310232,0.365,0.107,2,Saraf,,,,,,,,
6.91E-58,1.08342659,0.547,0.205,2,Thy1,,,,,,,,
1.10E-49,1.082181553,0.526,0.255,2,Trbc1,,,,,,,,
2.34E-31,1.036018424,0.217,0.039,2,Tcf7,,,,,,,,
2.41E-40,1.012367088,0.415,0.151,2,Ms4a6b,,,,,,,,
2.84E-25,1.00175385,0.243,0.079,2,Dapl1,,,,,,,,
2.49E-31,0.99509389,0.196,0.036,2,Cd247,,,,,,,,
6.50E-30,0.992137364,0.249,0.059,2,Cd27,,,,,,,,
9.96E-36,0.982388934,0.362,0.131,2,Atp1b3,,,,,,,,
3.76E-26,0.979277406,0.17,0.027,2,Prkcq,,,,,,,,
8.60E-47,0.96646899,0.524,0.221,2,Lck,,,,,,,,
8.21E-58,0.965113142,0.621,0.284,2,Cd3d,,,,,,,,
2.01E-23,0.923966137,0.215,0.058,2,Actn1,,,,,,,,
2.95E-24,0.783494716,0.357,0.148,2,Selplg,,,,,,,,
1.49E-24,0.756336197,0.161,0.03,2,Cd3e,,,,,,,,
1.73E-18,0.74802866,0.241,0.084,2,Skap1,,,,,,,,
9.10E-21,0.724154422,0.347,0.164,2,Gimap3,,,,,,,,
1.09E-18,0.719082654,0.283,0.113,2,Dgka,,,,,,,,
5.94E-20,0.709765904,0.233,0.083,2,Leprotl1,,,,,,,,
3.19E-12,0.678469631,0.169,0.059,2,Slfn1,,,,,,,,
3.79E-15,0.668174798,0.193,0.08,2,Smc4,,,,,,,,
5.28E-19,0.664565914,0.336,0.154,2,Hcst,,,,,,,,
1.69E-11,0.655421124,0.164,0.061,2,Fam189b,,,,,,,,
1.07E-24,0.628068776,0.532,0.318,2,Gm13588,,,,,,,,
1.25E-10,0.574077198,0.159,0.07,2,Emb,,,,,,,,
7.76E-10,0.566207527,0.214,0.11,2,Ccnd2,,,,,,,,
5.55E-09,0.524977878,0.232,0.128,2,Dnajc15,,,,,,,,
7.83E-17,0.520717018,0.477,0.302,2,Gm10275,,,,,,,,
3.71E-15,0.520631524,0.5,0.341,2,H2-Q7,,,,,,,,
5.15E-06,0.520553548,0.209,0.134,2,Id2,,,,,,,,
2.77E-14,0.503396757,0.384,0.253,2,Tpt1-ps3,,,,,,,,
6.20E-19,0.501331252,0.588,0.387,2,Fxyd5,,,,,,,,
3.01E-09,0.494043398,0.172,0.096,2,Rgs10,,,,,,,,
3.95E-23,0.480080277,0.431,0.231,2,Nkg7,,,,,,,,
2.08E-23,0.47258568,0.735,0.53,2,Rps16-ps2,,,,,,,,
8.93E-09,0.46951,0.223,0.125,2,Ifi47,,,,,,,,
2.68E-19,0.46772668,0.658,0.478,2,Rps6-ps4,,,,,,,,
1.54E-06,0.460100411,0.215,0.121,2,Ccr7,,,,,,,,
2.10E-07,0.44569891,0.203,0.134,2,Rps6-ps3,,,,,,,,
6.58E-06,0.443017501,0.178,0.096,2,Itgb7,,,,,,,,
1.12E-05,0.438544892,0.166,0.09,2,AI467606,,,,,,,,
6.48E-12,0.434810337,0.449,0.302,2,Gimap4,,,,,,,,
7.43E-10,0.432310944,0.278,0.188,2,Gm6204,,,,,,,,
1.09E-10,0.431389154,0.449,0.32,2,Rps15a-ps7,,,,,,,,
3.12E-30,0.430921142,0.887,0.753,2,Rps6,,,,,,,,
2.11E-07,0.429286473,0.151,0.074,2,Fyb,,,,,,,,
1.74E-05,0.425062096,0.19,0.108,2,B4galnt1,,,,,,,,
9.39E-14,0.414003963,0.579,0.445,2,Gm11361,,,,,,,,
2.42E-09,0.411694272,0.434,0.318,2,S100a10,,,,,,,,
8.76E-08,0.410464116,0.215,0.136,2,Gm6863,,,,,,,,
9.94E-07,0.410109607,0.17,0.103,2,Gm3788,,,,,,,,
5.56E-11,0.409326706,0.211,0.099,2,Ctsw,,,,,,,,
8.68E-08,0.4023344,0.376,0.274,2,Gm14586,,,,,,,,
6.82E-10,0.401833156,0.487,0.354,2,Rpl3-ps1,,,,,,,,
4.04E-07,0.400486573,0.363,0.252,2,Gm10073,,,,,,,,
6.03E-124,3.254545093,0.875,0.164,3,Gzma,,NK cell,,,,,,
4.28E-48,2.765893205,0.488,0.008,3,Klra8,,,,,,,,
4.55E-44,2.539504657,0.438,0.004,3,Klra13-ps,,,,,,,,
1.92E-46,2.521273167,0.475,0.01,3,Klrk1,,,,,,,,
3.49E-55,2.470660898,0.562,0.01,3,Klre1,,,,,,,,
2.59E-110,2.398640673,0.962,0.414,3,Ccl5,,,,,,,,
2.66E-50,2.351903291,0.512,0.009,3,Ncr1,,,,,,,,
2.06E-54,2.269731032,0.575,0.011,3,Klrb1c,,,,,,,,
1.64E-31,2.166997953,0.325,0.007,3,Klra9,,,,,,,,
4.68E-27,2.089771671,0.3,0.008,3,Klra4,,,,,,,,
8.53E-66,2.068505527,0.875,0.269,3,Nkg7,,,,,,,,
1.51E-27,2.065551106,0.3,0.006,3,Klra7,,,,,,,,
9.88E-40,2.057690253,0.575,0.089,3,Klrd1,,,,,,,,
2.37E-29,1.812008267,0.275,0.004,3,Klrc2,,,,,,,,
5.55E-73,1.804460481,0.95,0.432,3,AW112010,,,,,,,,
2.94E-25,1.578625979,0.588,0.115,3,Ctsw,,,,,,,,
1.47E-13,1.575923319,0.2,0.012,3,Xcl1,,,,,,,,
5.60E-25,1.52371829,0.225,0.004,3,Klri2,,,,,,,,
2.51E-16,1.492504836,0.212,0.008,3,Klrc1,,,,,,,,
5.82E-16,1.484206716,0.35,0.053,3,Il2rb,,,,,,,,
9.65E-18,1.466114506,0.475,0.1,3,Anxa2,,,,,,,,
2.58E-13,1.436445156,0.2,0.015,3,Prf1,,,,,,,,
5.62E-21,1.427535042,0.225,0.003,3,Gzmb,,,,,,,,
3.94E-12,1.39875109,0.362,0.094,3,Cd7,,,,,,,,
1.45E-27,1.392603709,0.788,0.287,3,Fcer1g,,,,,,,,
1.15E-19,1.381386485,0.588,0.139,3,Id2,,,,,,,,
2.66E-31,1.290659398,0.925,0.387,3,Tyrobp,,,,,,,,
6.93E-13,1.261785753,0.162,0.006,3,Samd3,,,,,,,,
1.03E-17,1.255997641,0.162,0.003,3,Ccl3,,,,,,,,
2.49E-20,1.246429125,0.162,0.001,3,Klra14-ps,,,,,,,,
2.81E-09,1.218051495,0.225,0.034,3,Dok2,,,,,,,,
2.84E-09,1.204840831,0.188,0.025,3,Ifitm10,,,,,,,,
6.70E-15,1.192304779,0.575,0.228,3,Lgals1,,,,,,,,
1.90E-10,1.178750213,0.225,0.037,3,Atp1b1,,,,,,,,
3.81E-08,1.116783994,0.175,0.033,3,Ctla2a,,,,,,,,
1.11E-09,1.105816304,0.162,0.011,3,Serpinb9,,,,,,,,
8.05E-13,1.044995011,0.525,0.253,3,H2afz,,,,,,,,
4.01E-08,1.034818375,0.325,0.121,3,Ifngr1,,,,,,,,
9.33E-09,0.989585624,0.45,0.186,3,Ctsd,,,,,,,,
1.04E-08,0.968169463,0.162,0.033,3,Efhd2,,,,,,,,
1.87E-11,0.962316601,0.4,0.128,3,Zyx,,,,,,,,
4.58E-07,0.94403532,0.312,0.13,3,Mxd4,,,,,,,,
1.36E-08,0.93492391,0.45,0.204,3,Selplg,,,,,,,,
4.89E-06,0.905123051,0.262,0.122,3,Lfng,,,,,,,,
1.76E-05,0.887933291,0.188,0.046,3,Sh2d1a,,,,,,,,
1.14E-13,0.884273091,0.775,0.415,3,Ms4a4b,,,,,,,,
1.11E-05,0.88208411,0.35,0.139,3,Dusp2,,,,,,,,
4.94E-06,0.861379102,0.338,0.149,3,Itgb2,,,,,,,,
1.61E-09,0.856143881,0.388,0.158,3,Rnaset2b,,,,,,,,
6.22E-06,0.843422242,0.162,0.054,3,Gm8203,,,,,,,,
1.48E-05,0.841763193,0.2,0.074,3,Hsd11b1,,,,,,,,
6.88E-07,0.823817941,0.175,0.059,3,Lasp1,,,,,,,,
0.000911159,0.819842393,0.162,0.058,3,Ppp1r12a,,,,,,,,
8.40E-09,0.804414938,0.612,0.344,3,S100a10,,,,,,,,
0.000228765,0.797891504,0.262,0.112,3,Ccnd3,,,,,,,,
3.94E-05,0.780646007,0.188,0.067,3,Impa1,,,,,,,,
0.000925422,0.771089212,0.162,0.057,3,Nucb1,,,,,,,,
1.86E-06,0.759534956,0.388,0.181,3,Jak1,,,,,,,,
4.80E-05,0.736338732,0.35,0.196,3,Arl6ip5,,,,,,,,
1.53E-06,0.709108592,0.462,0.262,3,Tspo,,,,,,,,
0.000171944,0.703808363,0.375,0.205,3,Hcst,,,,,,,,
5.51E-07,0.6941514,0.588,0.383,3,H2-Q7,,,,,,,,
0.000339817,0.68848884,0.2,0.093,3,Tpst2,,,,,,,,
0.002250637,0.684768041,0.162,0.058,3,Borcs7,,,,,,,,
0.001529365,0.680535864,0.225,0.126,3,Leprotl1,,,,,,,,
4.08E-06,0.670281208,0.162,0.044,3,Car2,,,,,,,,
0.000309479,0.656126137,0.175,0.071,3,Cd9,,,,,,,,
1.30E-05,0.643484929,0.438,0.304,3,Calm2,,,,,,,,
0.00020483,0.60506479,0.425,0.274,3,Sept1,,,,,,,,
9.58E-06,0.576747744,0.175,0.09,3,Hnrnpab,,,,,,,,
0.001080579,0.573216403,0.188,0.094,3,Ech1,,,,,,,,
8.66E-05,0.566882075,0.512,0.327,3,Emp3,,,,,,,,
0.001783784,0.563734085,0.212,0.117,3,Vim,,,,,,,,
8.84E-13,0.559823243,0.938,0.841,3,H2-D1,,,,,,,,
0.002865433,0.551727844,0.275,0.177,3,Sec62,,,,,,,,
0.000930908,0.547864333,0.238,0.157,3,H2afv,,,,,,,,
0.001199902,0.542829485,0.288,0.173,3,Prkar1a,,,,,,,,
3.30E-05,0.54087056,0.512,0.325,3,Sell,,,,,,,,
0.002621253,0.538182456,0.238,0.156,3,Sdcbp,,,,,,,,
0.000182258,0.521413568,0.288,0.175,3,Ndufb8,,,,,,,,
5.23E-05,0.515258336,0.262,0.152,3,Ywhaq,,,,,,,,
0.00167207,0.51359599,0.262,0.161,3,Sec11a,,,,,,,,
3.57E-07,0.507047825,0.338,0.204,3,H2afj,,,,,,,,
9.32E-05,0.501838684,0.262,0.162,3,Rab8a,,,,,,,,
6.40E-06,0.501253689,0.288,0.169,3,Ndufb10,,,,,,,,
0.003322851,0.495739683,0.362,0.257,3,Ptprc,,,,,,,,
7.43E-05,0.494260788,0.275,0.163,3,Capns1,,,,,,,,
8.05E-05,0.485008025,0.575,0.393,3,Laptm5,,,,,,,,
0.001817273,0.479731733,0.288,0.223,3,Arf1,,,,,,,,
1.03E-05,0.474410376,0.538,0.34,3,Gimap4,,,,,,,,
0.000767908,0.464027398,0.562,0.446,3,Fxyd5,,,,,,,,
0.000659363,0.460916692,0.575,0.41,3,Il2rg,,,,,,,,
0.009895744,0.459032898,0.262,0.174,3,Cd48,,,,,,,,
0.001417946,0.458281272,0.188,0.099,3,Cdkn2d,,,,,,,,
0.002525776,0.457667772,0.475,0.334,3,Myl12a,,,,,,,,
5.54E-06,0.4554631,0.862,0.743,3,Pfn1,,,,,,,,
0.000205505,0.453979156,0.288,0.165,3,Prr13,,,,,,,,
0.000179052,0.448338354,0.212,0.149,3,Sap18,,,,,,,,
0.000329406,0.444290213,0.188,0.136,3,Sf3b6,,,,,,,,
0.005737841,0.442901268,0.25,0.163,3,Higd2a,,,,,,,,
0.0001362,0.441006461,0.25,0.147,3,Tmem234,,,,,,,,
0.000333641,0.438033429,0.188,0.096,3,Tmem9b,,,,,,,,
0.000826642,0.421754444,0.3,0.236,3,Tbc1d10c,,,,,,,,
1.47E-10,0.416318308,0.25,0.152,3,Ifi47,,,,,,,,
0.000227708,0.415893794,0.562,0.471,3,Cox8a,,,,,,,,
0.009674667,0.414852484,0.175,0.104,3,Cyth4,,,,,,,,
0.003216121,0.412425974,0.175,0.107,3,Txndc17,,,,,,,,
0.002503059,0.410104197,0.675,0.503,3,Myl6,,,,,,,,
0.003633664,0.408778642,0.162,0.083,3,Pld3,,,,,,,,
0.00263245,0.406471479,0.562,0.406,3,Ptpn18,,,,,,,,
0.00373002,0.401709935,0.4,0.296,3,Atp5k,,,,,,,,
2.52E-35,2.039019198,0.687,0.061,4,S100a4,,Dendritic cell_S100a4 high,,,,,,
2.61E-28,1.955155529,0.448,0.02,4,Ffar2,,,,,,,,
3.63E-28,1.918767268,0.552,0.059,4,Plbd1,,,,,,,,
1.50E-28,1.884182779,0.493,0.029,4,Tmem176b,,,,,,,,
3.46E-28,1.819920387,0.731,0.321,4,Cst3,,,,,,,,
4.89E-27,1.799404489,0.642,0.095,4,Rgs2,,,,,,,,
5.81E-22,1.669039101,0.299,0.006,4,Avpi1,,,,,,,,
3.23E-20,1.644124686,0.522,0.081,4,Bcl2a1b,,,,,,,,
1.44E-20,1.578426338,0.313,0.012,4,Cyp4f16,,,,,,,,
2.81E-17,1.524856113,0.343,0.023,4,Tmem176a,,,,,,,,
2.25E-20,1.509467283,0.358,0.019,4,Asb2,,,,,,,,
1.77E-16,1.499150953,0.448,0.063,4,Rogdi,,,,,,,,
1.00E-18,1.477730863,0.284,0.008,4,Itgax,,,,,,,,
9.74E-13,1.425007414,0.328,0.04,4,Bcl2a1d,,,,,,,,
2.92E-45,1.415008595,0.955,0.742,4,H2-Eb1,,,,,,,,
1.46E-14,1.358178781,0.224,0.007,4,Flt3,,,,,,,,
1.01E-13,1.354548112,0.284,0.022,4,I830077J02Rik,,,,,,,,
5.37E-14,1.351308617,0.224,0.008,4,Dnase1l3,,,,,,,,
1.90E-16,1.334287455,0.597,0.156,4,Gm2a,,,,,,,,
3.63E-12,1.327067061,0.209,0.014,4,Ccnd1,,,,,,,,
1.73E-14,1.277223976,0.522,0.11,4,Syngr2,,,,,,,,
6.59E-15,1.276704345,0.254,0.011,4,Sirpb1a,,,,,,,,
1.94E-12,1.250590703,0.269,0.021,4,Slc46a3,,,,,,,,
2.27E-10,1.218670188,0.373,0.072,4,Fam105a,,,,,,,,
1.09E-10,1.206663039,0.433,0.099,4,H2-DMb1,,,,,,,,
2.01E-11,1.205687683,0.328,0.045,4,Gsn,,,,,,,,
1.01E-10,1.200068297,0.299,0.038,4,Skap2,,,,,,,,
1.40E-33,1.166390625,1,0.796,4,H2-Aa,,,,,,,,
1.69E-11,1.158260082,0.239,0.017,4,Hfe,,,,,,,,
2.19E-12,1.144017093,0.612,0.236,4,Atox1,,,,,,,,
5.71E-11,1.139972757,0.433,0.093,4,Cd7,,,,,,,,
1.41E-09,1.136965578,0.478,0.158,4,Mdh2,,,,,,,,
2.53E-11,1.133075229,0.343,0.052,4,Csf2ra,,,,,,,,
4.97E-13,1.1315213,0.194,0.006,4,Ppp1r14a,,,,,,,,
4.15E-14,1.106155925,0.746,0.321,4,S100a11,,,,,,,,
4.57E-08,1.088392596,0.254,0.037,4,Relb,,,,,,,,
1.01E-30,1.080187458,1,0.922,4,H2-Ab1,,,,,,,,
3.71E-08,1.050874534,0.164,0.012,4,Cd209a,,,,,,,,
5.88E-09,1.039580631,0.522,0.196,4,Ifitm3,,,,,,,,
4.77E-11,1.037406818,0.627,0.228,4,H2-Oa,,,,,,,,
6.64E-05,1.034998591,0.194,0.052,4,Il4i1,,,,,,,,
3.69E-09,1.031844269,0.493,0.154,4,Sat1,,,,,,,,
2.60E-10,1.011691164,0.164,0.006,4,Batf3,,,,,,,,
3.45E-05,0.993905917,0.209,0.043,4,Ptms,,,,,,,,
6.34E-08,0.988820388,0.209,0.028,4,Jun,,,,,,,,
2.61E-05,0.954213959,0.164,0.024,4,Haus8,,,,,,,,
1.92E-08,0.943758488,0.507,0.182,4,Ifi30,,,,,,,,
6.56E-10,0.942757718,0.358,0.073,4,Alox5ap,,,,,,,,
1.14E-08,0.933621237,0.597,0.252,4,Napsa,,,,,,,,
1.93E-08,0.9190696,0.328,0.069,4,Iscu,,,,,,,,
0.000871182,0.906394746,0.164,0.042,4,Traf1,,,,,,,,
1.28E-07,0.906271513,0.448,0.142,4,Tspan13,,,,,,,,
4.51E-06,0.898481283,0.418,0.148,4,Id2,,,,,,,,
2.14E-09,0.896133702,0.164,0.008,4,Tctex1d2,,,,,,,,
0.000248406,0.895035665,0.239,0.075,4,Sla,,,,,,,,
1.03E-05,0.879496334,0.358,0.123,4,Lst1,,,,,,,,
1.47E-05,0.876155716,0.179,0.027,4,Sgk3,,,,,,,,
1.27E-08,0.873352043,0.224,0.027,4,Scimp,,,,,,,,
8.51E-05,0.86812454,0.209,0.046,4,Ccnt2,,,,,,,,
6.87E-08,0.867823592,0.239,0.037,4,Pirb,,,,,,,,
0.000754438,0.864791275,0.209,0.099,4,Ppt1,,,,,,,,
5.16E-06,0.861836732,0.254,0.058,4,Ms4a6c,,,,,,,,
8.99E-09,0.848320106,0.254,0.043,4,Themis2,,,,,,,,
9.98E-05,0.847762563,0.179,0.034,4,Tspan3,,,,,,,,
2.72E-12,0.829803921,0.851,0.432,4,Ctss,,,,,,,,
1.08E-06,0.818406939,0.493,0.203,4,Ctsh,,,,,,,,
2.35E-06,0.818291605,0.164,0.024,4,Mcemp1,,,,,,,,
4.36E-05,0.809425684,0.179,0.034,4,Glrx,,,,,,,,
1.09E-07,0.806047285,0.209,0.029,4,Clec4a1,,,,,,,,
0.000378417,0.803633671,0.239,0.09,4,Anxa5,,,,,,,,
5.49E-05,0.774699271,0.373,0.137,4,Spi1,,,,,,,,
0.000300218,0.773982071,0.239,0.067,4,Evi2a,,,,,,,,
1.04E-06,0.748678674,0.194,0.029,4,Fam49a,,,,,,,,
3.18E-06,0.733223359,0.672,0.409,4,Lsp1,,,,,,,,
2.96E-06,0.729005771,0.299,0.084,4,Cfp,,,,,,,,
0.006340267,0.728686561,0.194,0.11,4,Cd83,,,,,,,,
8.14E-05,0.71380767,0.299,0.117,4,Prkcd,,,,,,,,
2.30E-09,0.703642811,0.179,0.019,4,Cd300a,,,,,,,,
7.75E-05,0.697259617,0.448,0.192,4,S100a6,,,,,,,,
0.000196756,0.693145353,0.179,0.042,4,Gsto1,,,,,,,,
0.000403483,0.688862675,0.328,0.13,4,M6pr,,,,,,,,
7.97E-05,0.685493713,0.194,0.042,4,Cd68,,,,,,,,
0.000626092,0.679389396,0.179,0.05,4,Bri3,,,,,,,,
4.33E-12,0.667654354,0.836,0.394,4,Tyrobp,,,,,,,,
3.28E-05,0.666416444,0.239,0.068,4,Nrros,,,,,,,,
3.76E-07,0.665396282,0.687,0.338,4,Lcp1,,,,,,,,
0.00090244,0.664323492,0.164,0.038,4,Dock10,,,,,,,,
0.000403421,0.663729048,0.179,0.043,4,N4bp2l1,,,,,,,,
0.001482486,0.663555382,0.164,0.044,4,Ramp1,,,,,,,,
0.000708831,0.66276887,0.373,0.168,4,Psmb9,,,,,,,,
0.000259882,0.659535431,0.313,0.114,4,Junb,,,,,,,,
0.002048506,0.658979742,0.358,0.161,4,Atpif1,,,,,,,,
9.39E-09,0.643580501,0.254,0.056,4,Sh3bp1,,,,,,,,
0.002901435,0.643276972,0.179,0.052,4,Clptm1,,,,,,,,
0.000148386,0.642561531,0.239,0.106,4,Mtpn,,,,,,,,
0.00029948,0.620559437,0.224,0.066,4,Nadk,,,,,,,,
0.000306688,0.618453866,0.269,0.097,4,Crlf2,,,,,,,,
0.000520935,0.609636206,0.194,0.059,4,Leprot,,,,,,,,
1.90E-06,0.608030659,0.612,0.296,4,Fcer1g,,,,,,,,
0.000101852,0.598367629,0.179,0.053,4,Cyb5r3,,,,,,,,
5.57E-06,0.595457139,0.746,0.455,4,Gpx1,,,,,,,,
0.001453395,0.59413864,0.388,0.181,4,Zfp36,,,,,,,,
0.004677812,0.574833587,0.373,0.193,4,Vamp8,,,,,,,,
0.007749653,0.573582452,0.194,0.066,4,Cnpy3,,,,,,,,
2.30E-05,0.561814532,0.522,0.246,4,Taldo1,,,,,,,,
0.001754658,0.540547973,0.299,0.123,4,Ifngr1,,,,,,,,
0.009328894,0.525379945,0.403,0.216,4,Ostf1,,,,,,,,
0.001697292,0.520021983,0.433,0.219,4,Ctsz,,,,,,,,
0.005740327,0.509690776,0.179,0.066,4,Scamp2,,,,,,,,
0.000546366,0.485450486,0.224,0.075,4,Mkrn1,,,,,,,,
0.000511057,0.479151534,0.164,0.042,4,Nfkb1,,,,,,,,
0.000245946,0.476620645,0.164,0.054,4,Bri3bp,,,,,,,,
0.000429929,0.473851022,0.552,0.306,4,H2-DMa,,,,,,,,
0.004026481,0.472344277,0.209,0.078,4,Mob1a,,,,,,,,
0.003277825,0.471444549,0.239,0.098,4,Bmyc,,,,,,,,
0.00125949,0.469346771,0.403,0.199,4,Capza2,,,,,,,,
0.007221666,0.44250445,0.239,0.109,4,Fam96a,,,,,,,,
0.000453594,0.435596598,0.194,0.067,4,Exosc8,,,,,,,,
0.000109971,0.428781752,0.493,0.256,4,H2afz,,,,,,,,
0.00305931,0.421813796,0.343,0.168,4,Fam49b,,,,,,,,
4.25E-05,0.416948592,0.164,0.058,4,Sh3bgrl,,,,,,,,
0.005404288,0.413183187,0.522,0.317,4,Psme2,,,,,,,,
