p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,
2.54E-127,1.323693603,0.544,0.1,1,Col15a1,,,,,,,,,
1.99E-218,1.321336689,0.933,0.398,1,Bgn,,,,,,,,,
3.13E-135,1.314756307,0.597,0.138,1,Prnp,,,,,,,,,
0,1.30969554,0.987,0.555,1,Fbln1,,,,,,,,,
1.04E-105,1.297442287,0.404,0.05,1,Ogn,,,,,,,,,
4.79E-144,1.284055224,0.621,0.148,1,Entpd2,,,,,,,,,
6.84E-145,1.283273364,0.709,0.196,1,Aebp1,,,,,,,,,
4.65E-168,1.267737092,0.803,0.279,1,Timp2,,,,,,,,,
6.55E-181,1.263071774,0.803,0.234,1,Cd34,,,,,,,,,
8.77E-64,1.259346261,0.286,0.048,1,C3,,,,,,,,,
1.25E-158,1.251185087,0.721,0.199,1,Ifitm1,,,,,,,,,
1.86E-120,1.244484066,0.524,0.099,1,Pid1,,,,,,,,,
1.19E-188,1.237363703,0.849,0.311,1,Rbp1,,,,,,,,,
6.84E-118,1.237342321,0.505,0.089,1,Fbn1,,,,,,,,,
2.14E-91,1.230048662,0.428,0.078,1,Igf1,,,,,,,,,
1.04E-113,1.224943203,0.527,0.102,1,Itm2a,,,,,,,,,
1.14E-183,1.220533979,0.872,0.403,1,S100a10,,,,,,,,,
3.59E-170,1.214275147,0.831,0.298,1,Cygb,,,,,,,,,
3.85E-177,1.211895231,0.851,0.284,1,Col6a1,,,,,,,,,
5.33E-132,1.207604458,0.623,0.15,1,Loxl1,,,,,,,,,
2.71E-111,1.195023614,0.464,0.074,1,Sod3,,,,,,,,,
9.44E-102,1.191465752,0.381,0.042,1,Gpc3,,,,,,,,,
6.33E-120,1.186348267,0.6,0.141,1,Pamr1,,,,,,,,,
2.81E-70,1.177941529,0.213,0.01,1,Sfrp4,,,,,,,,,
4.86E-233,1.170810746,0.962,0.419,1,Serping1,,,,,,,,,
2.61E-301,1.167763995,0.993,0.473,1,Col1a1,,,,,,,,,
8.60E-175,1.162796622,0.861,0.357,1,Igfbp6,,,,,,,,,
7.41E-136,1.154575145,0.796,0.299,1,Igfbp4,,,,,,,,,
1.36E-171,1.147797866,0.835,0.301,1,Mmp2,,,,,,,,,
7.11E-59,1.14225581,0.357,0.095,1,Hsd11b1,,,,,,,,,
3.45E-116,1.141603585,0.516,0.092,1,Adamts2,,,,,,,,,
3.94E-139,1.121290277,0.734,0.218,1,Pmp22,,,,,,,,,
7.23E-120,1.12073807,0.615,0.15,1,Scara5,,,,,,,,,
5.81E-133,1.120024538,0.707,0.2,1,C1ra,,,,,,,,,
9.75E-102,1.117557442,0.54,0.126,1,Meg3,,,,,,,,,
4.06E-118,1.112245245,0.616,0.169,1,Emp1,,,,,,,,,
8.04E-137,1.103794458,0.768,0.277,1,Col6a2,,,,,,,,,
9.90E-86,1.100029705,0.414,0.081,1,Thbd,,,,,,,,,
1.58E-95,1.089066811,0.413,0.064,1,Bicc1,,,,,,,,,
1.30E-70,1.08492795,0.59,0.269,1,Timp3,,,,,,,,,
5.34E-88,1.076761647,0.393,0.061,1,Nid1,,,,,,,,,
1.48E-171,1.076748585,0.89,0.559,1,Rnase4,,,,,,,,,
7.81E-98,1.064726459,0.49,0.106,1,Tppp3,,,,,,,,,
9.28E-194,1.055699222,0.934,0.494,1,Ctsl,,,,,,,,,
3.90E-95,1.054267132,0.457,0.085,1,Fgfr1,,,,,,,,,
2.27E-84,1.053272302,0.434,0.093,1,Lamb1,,,,,,,,,
0,1.046269851,0.999,0.577,1,Col1a2,,,,,,,,,
8.97E-65,1.04452985,0.31,0.056,1,Fxyd6,,,,,,,,,
2.99E-93,1.040725584,0.53,0.147,1,Lrp1,,,,,,,,,
1.29E-91,1.032807737,0.523,0.134,1,Ptgis,,,,,,,,,
3.91E-90,1.030353203,0.501,0.117,1,Ccdc80,,,,,,,,,
3.57E-135,1.020985135,0.81,0.301,1,Nbl1,,,,,,,,,
3.66E-99,1.003869907,0.608,0.183,1,Inmt,,,,,,,,,
1.65E-94,0.997845244,0.607,0.188,1,Fn1,,,,,,,,,
2.68E-215,0.994313147,0.96,0.426,1,Serpinh1,,,,,,,,,
1.29E-86,0.989515648,0.438,0.088,1,Osr1,,,,,,,,,
5.49E-244,0.98909753,0.96,0.379,1,Sparcl1,,,,,,,,,
8.76E-72,0.975020594,0.342,0.056,1,Ms4a4d,,,,,,,,,
4.58E-82,0.973892225,0.441,0.098,1,Cpxm1,,,,,,,,,
7.45E-77,0.972760828,0.425,0.111,1,Plpp1,,,,,,,,,
6.74E-95,0.970647131,0.646,0.214,1,Fbln5,,,,,,,,,
1.35E-70,0.968554514,0.347,0.064,1,Lamc1,,,,,,,,,
3.31E-66,0.952929233,0.312,0.05,1,Lama4,,,,,,,,,
3.83E-126,0.948688146,0.808,0.325,1,Fstl1,,,,,,,,,
6.34E-64,0.946101319,0.377,0.086,1,Colec12,,,,,,,,,
1.46E-68,0.945229339,0.218,0.014,1,Dner,,,,,,,,,
2.64E-67,0.944663301,0.389,0.087,1,Pdgfra,,,,,,,,,
4.06E-80,0.936100576,0.467,0.112,1,Ctsk,,,,,,,,,
2.60E-93,0.928217735,0.643,0.215,1,Mxra8,,,,,,,,,
6.24E-66,0.92432193,0.335,0.086,1,Lpar1,,,,,,,,,
8.96E-61,0.917704701,0.338,0.07,1,Twist2,,,,,,,,,
2.40E-56,0.913786883,0.282,0.048,1,Angptl2,,,,,,,,,
1.69E-123,0.908967657,0.781,0.28,1,C1s1,,,,,,,,,
4.19E-91,0.90304784,0.632,0.238,1,Mmp14,,,,,,,,,
1.76E-59,0.902478957,0.215,0.018,1,Abca8a,,,,,,,,,
1.36E-95,0.898200983,0.615,0.187,1,Cd302,,,,,,,,,
1.03E-84,0.887989809,0.545,0.155,1,Col5a2,,,,,,,,,
7.50E-55,0.887252553,0.158,0.005,1,Gdf10,,,,,,,,,
4.36E-63,0.885928607,0.392,0.095,1,Cfh,,,,,,,,,
4.95E-53,0.875006477,0.308,0.066,1,Podn,,,,,,,,,
8.94E-82,0.872656767,0.664,0.265,1,Lsp1,,,,,,,,,
6.63E-65,0.872476771,0.287,0.042,1,Fbln2,,,,,,,,,
3.59E-140,0.866232954,0.799,0.27,1,Tcf21,,,,,,,,,
6.31E-83,0.862504072,0.584,0.207,1,Cd248,,,,,,,,,
1.99E-49,0.855018805,0.338,0.089,1,Mfap2,,,,,,,,,
4.48E-69,0.833747029,0.529,0.208,1,Fkbp9,,,,,,,,,
4.32E-62,0.813068983,0.331,0.065,1,Abi3bp,,,,,,,,,
3.57E-54,0.811000152,0.272,0.046,1,Atp1a2,,,,,,,,,
1.34E-50,0.803563147,0.271,0.051,1,Nfib,,,,,,,,,
2.01E-75,0.800891934,0.661,0.277,1,Pcolce,,,,,,,,,
1.12E-72,0.800759965,0.568,0.219,1,Scpep1,,,,,,,,,
9.44E-88,0.789769956,0.693,0.296,1,Rcn3,,,,,,,,,
5.02E-53,0.787019718,0.275,0.054,1,Sulf1,,,,,,,,,
1.01E-49,0.781054045,0.252,0.043,1,Slc43a3,,,,,,,,,
1.97E-53,0.780713637,0.261,0.043,1,Medag,,,,,,,,,
2.09E-46,0.771704124,0.406,0.14,1,Atf5,,,,,,,,,
1.43E-47,0.770760911,0.328,0.084,1,Col5a1,,,,,,,,,
2.01E-58,0.769766117,0.382,0.1,1,Itih5,,,,,,,,,
5.01E-55,0.767674985,0.434,0.178,1,Pbx1,,,,,,,,,
6.69E-80,0.766777623,0.736,0.469,1,Hspa5,,,,,,,,,
7.02E-66,0.765796952,0.506,0.175,1,Fcgrt,,,,,,,,,
7.43E-57,0.759170959,0.155,0.003,1,Itgbl1,,,,,,,,,
8.03E-53,0.75680355,0.296,0.066,1,Smpdl3a,,,,,,,,,
3.24E-38,0.756530111,0.28,0.098,1,Pmepa1,,,,,,,,,
2.47E-64,0.753142768,0.245,0.025,1,Slit3,,,,,,,,,
1.76E-54,0.752418141,0.201,0.017,1,Scn7a,,,,,,,,,
1.04E-41,0.726781508,0.344,0.11,1,Tpst1,,,,,,,,,
2.17E-42,0.717016549,0.208,0.032,1,Fndc1,,,,,,,,,
2.77E-47,0.716552452,0.212,0.03,1,Pkd2,,,,,,,,,
2.35E-74,0.716411686,0.819,0.589,1,Gnas,,,,,,,,,
1.14E-44,0.713851763,0.155,0.011,1,Stc2,,,,,,,,,
1.82E-37,0.713030276,0.276,0.073,1,Enpp2,,,,,,,,,
1.50E-52,0.710074828,0.248,0.038,1,Lama2,,,,,,,,,
3.52E-116,0.70868221,0.883,0.457,1,Vim,,,,,,,,,
2.04E-39,0.69620525,0.278,0.072,1,Hspg2,,,,,,,,,
8.06E-42,0.694942259,0.342,0.122,1,Tgfbr2,,,,,,,,,
1.85E-44,0.69228157,0.201,0.027,1,Pcdh18,,,,,,,,,
6.61E-43,0.687354183,0.245,0.049,1,Gpc6,,,,,,,,,
5.13E-90,0.682897117,0.689,0.277,1,Fxyd1,,,,,,,,,
3.53E-30,0.676582533,0.211,0.053,1,Islr,,,,,,,,,
2.61E-53,0.676046451,0.509,0.203,1,Selenom,,,,,,,,,
1.04E-34,0.663631435,0.315,0.104,1,Mxra7,,,,,,,,,
5.22E-50,0.661404545,0.382,0.119,1,Tmem119,,,,,,,,,
2.34E-38,0.655736122,0.289,0.08,1,Gpx7,,,,,,,,,
2.34E-40,0.655370064,0.37,0.147,1,Sptbn1,,,,,,,,,
3.51E-40,0.654594626,0.358,0.155,1,Selenbp1,,,,,,,,,
4.07E-56,0.646823541,0.668,0.39,1,Plpp3,,,,,,,,,
9.98E-44,0.645840289,0.152,0.011,1,Gxylt2,,,,,,,,,
1.35E-46,0.640579624,0.375,0.125,1,Krtdap,,,,,,,,,
9.46E-30,0.63952433,0.201,0.061,1,F3,,,,,,,,,
2.75E-31,0.636636609,0.188,0.038,1,Steap3,,,,,,,,,
6.11E-82,0.629401978,0.773,0.457,1,Ecm1,,,,,,,,,
3.70E-69,0.627049776,0.692,0.327,1,Rarres2,,,,,,,,,
1.30E-36,0.626310771,0.31,0.097,1,Chpf,,,,,,,,,
1.05E-84,0.618549428,0.78,0.467,1,Anxa5,,,,,,,,,
2.65E-146,0.6158108,0.967,0.736,1,Cst3,,,,,,,,,
1.34E-29,0.614358232,0.23,0.065,1,P4ha1,,,,,,,,,
1.88E-33,0.611017222,0.298,0.119,1,Sh3bp5,,,,,,,,,
1.36E-36,0.609547979,0.353,0.132,1,Adk,,,,,,,,,
1.44E-37,0.605842797,0.279,0.085,1,Myadm,,,,,,,,,
2.58E-35,0.603794886,0.308,0.1,1,Sema3c,,,,,,,,,
1.87E-38,0.603065519,0.324,0.109,1,Ddah2,,,,,,,,,
1.36E-60,0.601900006,0.619,0.289,1,Ifi27l2a,,,,,,,,,
2.91E-46,0.600580511,0.462,0.198,1,Nupr1,,,,,,,,,
4.76E-32,0.600546499,0.197,0.041,1,Olfml2b,,,,,,,,,
6.94E-38,0.59912893,0.397,0.184,1,Mmp23,,,,,,,,,
5.52E-33,0.598907198,0.169,0.027,1,Camk2n1,,,,,,,,,
6.16E-36,0.597527871,0.298,0.115,1,Il6st,,,,,,,,,
5.46E-35,0.595566355,0.223,0.051,1,Cadm3,,,,,,,,,
3.93E-33,0.594905378,0.372,0.219,1,Ahnak,,,,,,,,,
2.63E-35,0.594126259,0.251,0.066,1,Bmp1,,,,,,,,,
4.49E-37,0.593393918,0.198,0.038,1,Adamts10,,,,,,,,,
1.81E-37,0.590731692,0.317,0.106,1,Arap1,,,,,,,,,
1.13E-30,0.590623807,0.192,0.048,1,Pam,,,,,,,,,
4.71E-27,0.588815465,0.233,0.113,1,Celf2,,,,,,,,,
1.50E-45,0.582306891,0.483,0.308,1,Vkorc1,,,,,,,,,
2.16E-30,0.582224201,0.19,0.05,1,Clec11a,,,,,,,,,
1.85E-40,0.581092214,0.368,0.132,1,Fkbp7,,,,,,,,,
3.90E-43,0.58031981,0.476,0.286,1,Tmed3,,,,,,,,,
9.41E-24,0.578457009,0.152,0.033,1,Tmem204,,,,,,,,,
2.05E-23,0.573479869,0.216,0.068,1,Col8a1,,,,,,,,,
1.08E-44,0.572687923,0.642,0.442,1,Hsp90b1,,,,,,,,,
1.98E-26,0.57176226,0.271,0.105,1,Golim4,,,,,,,,,
4.45E-183,0.571495648,0.996,0.835,1,Igfbp7,,,,,,,,,
6.76E-33,0.567411217,0.382,0.199,1,Gaa,,,,,,,,,
3.98E-52,0.565706713,0.597,0.381,1,Pdia6,,,,,,,,,
7.71E-70,0.56555462,0.692,0.322,1,Aldh2,,,,,,,,,
4.00E-45,0.564058961,0.541,0.297,1,Calu,,,,,,,,,
7.05E-31,0.563564444,0.233,0.1,1,Sulf2,,,,,,,,,
3.88E-27,0.5634361,0.169,0.036,1,S1pr2,,,,,,,,,
5.61E-37,0.561427863,0.198,0.038,1,Gfpt2,,,,,,,,,
7.77E-34,0.561346156,0.199,0.041,1,Adgrd1,,,,,,,,,
1.79E-31,0.561220312,0.294,0.099,1,Kdelr3,,,,,,,,,
8.98E-28,0.561195223,0.179,0.041,1,G0s2,,,,,,,,,
9.81E-18,0.55895454,0.24,0.1,1,Postn,,,,,,,,,
2.56E-30,0.558866034,0.216,0.056,1,Heg1,,,,,,,,,
1.54E-28,0.555026682,0.159,0.029,1,Mrc2,,,,,,,,,
2.57E-49,0.551391877,0.276,0.07,1,Thy1,,,,,,,,,
3.34E-29,0.549618215,0.382,0.187,1,Cpq,,,,,,,,,
6.93E-29,0.547452864,0.23,0.119,1,Plat,,,,,,,,,
2.33E-37,0.546687656,0.379,0.166,1,Npdc1,,,,,,,,,
3.75E-24,0.545831613,0.209,0.063,1,Clmp,,,,,,,,,
8.23E-69,0.545396776,0.664,0.299,1,Tuba1a,,,,,,,,,
7.46E-32,0.545076125,0.312,0.11,1,Fzd1,,,,,,,,,
6.03E-61,0.54150995,0.664,0.323,1,Emp3,,,,,,,,,
6.10E-30,0.539789104,0.201,0.055,1,Plod1,,,,,,,,,
1.14E-37,0.537939604,0.746,0.552,1,Phlda1,,,,,,,,,
2.27E-26,0.536802384,0.23,0.08,1,Ctdsp2,,,,,,,,,
5.73E-29,0.536680449,0.349,0.169,1,Txndc5,,,,,,,,,
4.45E-30,0.53482492,0.244,0.072,1,Ndn,,,,,,,,,
2.81E-31,0.534789124,0.324,0.125,1,Pdlim2,,,,,,,,,
5.06E-73,0.53452606,0.869,0.677,1,Cd63,,,,,,,,,
4.25E-25,0.533595368,0.287,0.11,1,Col6a3,,,,,,,,,
2.78E-34,0.532193815,0.43,0.301,1,Hexb,,,,,,,,,
5.96E-25,0.532008168,0.184,0.049,1,Hic1,,,,,,,,,
1.37E-25,0.531593435,0.269,0.11,1,Sgce,,,,,,,,,
3.07E-32,0.531003065,0.255,0.095,1,Man1a,,,,,,,,,
2.12E-54,0.530602636,0.642,0.384,1,Cd81,,,,,,,,,
3.11E-56,0.526919313,0.515,0.21,1,Ppic,,,,,,,,,
1.82E-30,0.525591495,0.206,0.051,1,Tgfb3,,,,,,,,,
7.07E-26,0.523704622,0.174,0.042,1,Nfix,,,,,,,,,
1.19E-25,0.522547549,0.325,0.141,1,Cyr61,,,,,,,,,
1.06E-101,0.521610635,0.718,0.381,1,Selenop,,,,,,,,,
1.63E-37,0.521592269,0.255,0.068,1,Palm,,,,,,,,,
2.48E-28,0.519127582,0.28,0.101,1,Gstt1,,,,,,,,,
5.42E-40,0.517748274,0.573,0.432,1,App,,,,,,,,,
2.96E-28,0.513989191,0.319,0.126,1,Olfml3,,,,,,,,,
1.21E-53,0.513176738,0.774,0.535,1,Ly6a,,,,,,,,,
1.28E-21,0.512763581,0.174,0.048,1,Lpl,,,,,,,,,
8.45E-26,0.511770706,0.185,0.046,1,Cdh11,,,,,,,,,
6.60E-131,0.511434457,0.932,0.566,1,Lgals1,,,,,,,,,
2.58E-24,0.509592233,0.165,0.049,1,Ptgfrn,,,,,,,,,
5.29E-28,0.508670959,0.232,0.08,1,Cdc42ep2,,,,,,,,,
5.03E-33,0.508614745,0.191,0.039,1,Dpysl3,,,,,,,,,
3.41E-33,0.507895868,0.437,0.207,1,Oat,,,,,,,,,
4.99E-26,0.506301165,0.364,0.174,1,Snhg18,,,,,,,,,
8.15E-21,0.506000599,0.195,0.092,1,Mettl7a1,,,,,,,,,
3.09E-22,0.505304233,0.233,0.082,1,Fkbp10,,,,,,,,,
1.88E-36,0.503888548,0.416,0.192,1,Ctsz,,,,,,,,,
4.12E-30,0.503000594,0.191,0.044,1,Tgfbr3,,,,,,,,,
8.78E-25,0.502946037,0.271,0.101,1,Tubb6,,,,,,,,,
1.45E-32,0.50243677,0.437,0.28,1,Manf,,,,,,,,,
5.42E-22,0.498580907,0.153,0.037,1,Mmp19,,,,,,,,,
4.52E-26,0.498516318,0.151,0.029,1,Csf1,,,,,,,,,
9.01E-25,0.49505374,0.314,0.159,1,Parp3,,,,,,,,,
2.53E-26,0.493057223,0.296,0.119,1,Prelp,,,,,,,,,
1.16E-30,0.489068183,0.368,0.169,1,S100a13,,,,,,,,,
1.10E-19,0.483539559,0.169,0.075,1,Ltbp3,,,,,,,,,
1.46E-12,0.482807479,0.163,0.064,1,Stmn2,,,,,,,,,
4.84E-32,0.480385624,0.356,0.144,1,Rhoj,,,,,,,,,
5.15E-53,0.476826896,0.584,0.276,1,Prkcdbp,,,,,,,,,
2.36E-24,0.475506624,0.202,0.067,1,Ces2g,,,,,,,,,
8.87E-26,0.474384373,0.176,0.043,1,Gabra3,,,,,,,,,
2.22E-22,0.474357506,0.325,0.145,1,Axl,,,,,,,,,
9.71E-17,0.470617107,0.269,0.124,1,Lgals9,,,,,,,,,
1.87E-38,0.469811577,0.597,0.432,1,Sec62,,,,,,,,,
1.55E-20,0.469705147,0.192,0.062,1,Lox,,,,,,,,,
4.00E-33,0.468736493,0.43,0.266,1,Gabarapl1,,,,,,,,,
3.62E-25,0.468577015,0.176,0.061,1,Ski,,,,,,,,,
3.54E-27,0.466532297,0.162,0.034,1,Plscr4,,,,,,,,,
1.29E-25,0.466366959,0.29,0.135,1,Prdx4,,,,,,,,,
2.11E-26,0.463148185,0.4,0.246,1,Cd47,,,,,,,,,
1.53E-31,0.459945402,0.343,0.168,1,Copz2,,,,,,,,,
1.50E-25,0.456427052,0.191,0.053,1,Xdh,,,,,,,,,
1.76E-23,0.455485394,0.234,0.093,1,Tspan4,,,,,,,,,
7.14E-24,0.454488375,0.273,0.109,1,Mgll,,,,,,,,,
3.00E-28,0.454430932,0.396,0.241,1,Rcn1,,,,,,,,,
1.02E-25,0.453505656,0.361,0.169,1,Degs1,,,,,,,,,
1.07E-34,0.452126363,0.503,0.352,1,Nedd4,,,,,,,,,
6.18E-20,0.451260241,0.195,0.069,1,Nav1,,,,,,,,,
8.76E-27,0.450475451,0.427,0.285,1,Sar1a,,,,,,,,,
3.06E-21,0.44719368,0.227,0.101,1,Eva1b,,,,,,,,,
7.00E-24,0.444208852,0.293,0.172,1,Dnajc3,,,,,,,,,
1.19E-16,0.443719686,0.241,0.103,1,Vcam1,,,,,,,,,
4.13E-20,0.441998749,0.16,0.045,1,Antxr1,,,,,,,,,
3.81E-17,0.441509887,0.169,0.061,1,Slc29a1,,,,,,,,,
7.90E-43,0.441413598,0.395,0.161,1,Ly6c1,,,,,,,,,
6.51E-22,0.440674093,0.174,0.049,1,Tnfsf12,,,,,,,,,
4.28E-21,0.439964596,0.335,0.19,1,Oxct1,,,,,,,,,
2.69E-21,0.438176246,0.18,0.055,1,Scd1,,,,,,,,,
4.51E-20,0.43747819,0.251,0.146,1,Tgoln1,,,,,,,,,
7.55E-25,0.436021945,0.278,0.17,1,Slc1a5,,,,,,,,,
3.74E-19,0.434648176,0.174,0.072,1,B4galt1,,,,,,,,,
3.21E-21,0.434591089,0.248,0.101,1,Il11ra1,,,,,,,,,
1.31E-16,0.434119812,0.305,0.15,1,Ptges,,,,,,,,,
4.43E-16,0.432487976,0.177,0.063,1,B3gnt9,,,,,,,,,
2.76E-20,0.431451298,0.241,0.114,1,Rab34,,,,,,,,,
3.09E-48,0.428347128,0.791,0.608,1,Ifitm2,,,,,,,,,
2.13E-28,0.42813865,0.325,0.17,1,Tapbp,,,,,,,,,
4.96E-23,0.427187983,0.206,0.067,1,Loxl2,,,,,,,,,
6.98E-30,0.422999366,0.512,0.36,1,Nenf,,,,,,,,,
1.86E-27,0.421796147,0.232,0.079,1,Ddr2,,,,,,,,,
8.36E-21,0.420697373,0.234,0.127,1,Creld2,,,,,,,,,
1.51E-24,0.420241997,0.544,0.444,1,Id2,,,,,,,,,
6.43E-18,0.417577349,0.162,0.055,1,Nr3c1,,,,,,,,,
7.28E-19,0.417037736,0.19,0.119,1,Pla2g4a,,,,,,,,,
7.81E-22,0.416514015,0.287,0.126,1,Cmtm3,,,,,,,,,
6.71E-14,0.41556446,0.172,0.086,1,Ctsf,,,,,,,,,
1.46E-49,0.415561296,0.502,0.226,1,Dkk3,,,,,,,,,
3.38E-23,0.414941729,0.234,0.093,1,Fam114a1,,,,,,,,,
2.29E-15,0.414833212,0.183,0.069,1,Igsf10,,,,,,,,,
1.16E-14,0.41353604,0.172,0.069,1,Adamtsl5,,,,,,,,,
1.06E-14,0.412825959,0.166,0.07,1,Col4a5,,,,,,,,,
3.67E-24,0.412237125,0.416,0.306,1,Surf4,,,,,,,,,
2.10E-26,0.411321538,0.219,0.119,1,Tram1,,,,,,,,,
1.70E-21,0.411320192,0.291,0.182,1,Tm2d2,,,,,,,,,
1.00E-27,0.410006258,0.156,0.035,1,Tnfsf13b,,,,,,,,,
5.82E-25,0.409122292,0.248,0.155,1,Tshz2,,,,,,,,,
1.59E-36,0.405912068,0.816,0.7,1,Anxa2,,,,,,,,,
1.11E-21,0.405877242,0.301,0.161,1,Pdpn,,,,,,,,,
5.31E-21,0.401615779,0.159,0.043,1,Epb41l2,,,,,,,,,
4.50E-28,0.400748124,0.597,0.48,1,Lamp2,,,,,,,,,
3.54E-88,1.638539305,0.426,0.044,2,Chodl,,Mesenchymal stromal cell,,,,,,,
8.97E-109,1.528243613,0.667,0.145,2,Wnt2,,,,,,,,,
6.06E-65,1.509640827,0.246,0.009,2,Bglap2,,,,,,,,,
6.41E-109,1.478287151,0.72,0.21,2,Efemp1,,,,,,,,,
3.48E-83,1.47384609,0.381,0.032,2,Asz1,,,,,,,,,
9.57E-91,1.446573044,0.602,0.15,2,Akap12,,,,,,,,,
1.70E-60,1.326848276,0.429,0.081,2,Serpina3n,,,,,,,,,
2.50E-64,1.27035811,0.473,0.103,2,Lbp,,,,,,,,,
4.86E-60,1.234429497,0.515,0.141,2,Krtdap,,,,,,,,,
3.46E-80,1.217899406,0.639,0.242,2,Plxdc2,,,,,,,,,
1.72E-51,1.216032816,0.381,0.079,2,Npy1r,,,,,,,,,
9.92E-97,1.201801873,0.84,0.344,2,Tcf21,,,,,,,,,
4.08E-71,1.162324807,0.678,0.211,2,Scara5,,,,,,,,,
3.83E-55,1.137744144,0.546,0.186,2,Bmp4,,,,,,,,,
1.62E-57,1.128862047,0.563,0.277,2,Csrp2,,,,,,,,,
8.58E-36,1.083174867,0.552,0.256,2,Inmt,,,,,,,,,
1.98E-71,1.076001951,0.728,0.322,2,Htra1,,,,,,,,,
7.26E-178,1.074395687,0.992,0.62,2,Fbln1,,,,,,,,,
2.27E-60,1.049692134,0.644,0.255,2,Cd248,,,,,,,,,
1.00E-131,1.039128086,0.947,0.488,2,Pi16,,,,,,,,,
8.73E-61,1.038660747,0.692,0.329,2,Tmem176a,,,,,,,,,
5.36E-55,1.038404863,0.56,0.219,2,Tgm2,,,,,,,,,
2.09E-82,1.023664621,0.843,0.494,2,Ecm1,,,,,,,,,
2.27E-33,0.976527198,0.286,0.077,2,Tmem158,,,,,,,,,
1.67E-36,0.957530266,0.258,0.046,2,Pitx2,,,,,,,,,
6.47E-35,0.94367463,0.249,0.048,2,Hspa12b,,,,,,,,,
4.00E-33,0.936381819,0.468,0.204,2,Socs3,,,,,,,,,
1.01E-56,0.933527262,0.826,0.565,2,Hspa1a,,,,,,,,,
3.41E-27,0.918668113,0.241,0.072,2,Dmkn,,,,,,,,,
1.29E-33,0.912993587,0.594,0.29,2,Gadd45g,,,,,,,,,
1.07E-52,0.903466443,0.709,0.347,2,Tuba1a,,,,,,,,,
7.54E-36,0.89766006,0.373,0.101,2,Postn,,,,,,,,,
1.76E-27,0.893921262,0.252,0.056,2,C4b,,,,,,,,,
8.20E-83,0.888964878,0.891,0.706,2,Anxa2,,,,,,,,,
7.41E-45,0.880243674,0.661,0.333,2,Ifi27l2a,,,,,,,,,
9.62E-51,0.874217714,0.711,0.375,2,Aldh2,,,,,,,,,
1.77E-78,0.862848306,0.888,0.554,2,Ly6a,,,,,,,,,
1.31E-49,0.848008505,0.745,0.361,2,C1s1,,,,,,,,,
2.30E-29,0.846420312,0.375,0.143,2,Itih5,,,,,,,,,
3.18E-51,0.842052499,0.725,0.414,2,Tmem176b,,,,,,,,,
2.41E-219,0.832708416,1,0.906,2,Gsn,,,,,,,,,
1.75E-26,0.829760134,0.291,0.092,2,Pitx1,,,,,,,,,
1.91E-36,0.826688524,0.599,0.275,2,Lhfp,,,,,,,,,
5.53E-255,0.818995557,1,0.738,2,Dcn,,,,,,,,,
